//X,Y,Z,intensity,ping_no
-257.82192993,100.92078400,-8.51866627,-510.000000,20.000000
-257.67584229,101.27861023,-8.46608734,-510.000000,20.000000
-257.53671265,101.61937714,-8.41510391,-510.000000,20.000000
-257.39883423,101.95706940,-8.35557270,-510.000000,20.000000
-257.26223755,102.29154205,-8.28757477,-510.000000,20.000000
-257.15719604,102.54888916,-8.25839996,-510.000000,20.000000
-257.05813599,102.79161835,-8.23588753,-510.000000,20.000000
-256.96017456,103.03166962,-8.20686436,-510.000000,20.000000
-256.86264038,103.27053833,-8.17350960,-510.000000,20.000000
-256.78381348,103.46378326,-8.16460800,-510.000000,20.000000
-256.71075439,103.64290619,-8.16383171,-510.000000,20.000000
-256.63812256,103.82093811,-8.15945816,-510.000000,20.000000
-256.56594849,103.99781799,-8.15151596,-510.000000,20.000000
-256.48562622,104.19446564,-8.11041927,-510.000000,20.000000
-256.41107178,104.37705231,-8.07814693,-510.000000,20.000000
-256.33715820,104.55809784,-8.04232407,-510.000000,20.000000
-256.26385498,104.73754883,-8.00298595,-510.000000,20.000000
-256.20223999,104.88850403,-7.98324108,-510.000000,20.000000
-256.14559937,105.02733612,-7.97484970,-510.000000,20.000000
-256.08483887,105.17613983,-7.94981956,-510.000000,20.000000
-256.02899170,105.31300354,-7.93642426,-510.000000,20.000000
-255.97941589,105.43450928,-7.93137074,-510.000000,20.000000
-255.93473816,105.54406738,-7.93813038,-510.000000,20.000000
-255.88569641,105.66425323,-7.92922783,-510.000000,20.000000
-255.84147644,105.77269745,-7.93241596,-510.000000,20.000000
-255.79837036,105.87835693,-7.93187523,-510.000000,20.000000
-255.75518799,105.98423767,-7.93038750,-510.000000,20.000000
-255.71252441,106.08879852,-7.92662811,-510.000000,20.000000
-255.67408752,106.18310547,-7.93643856,-510.000000,20.000000
-255.63244629,106.28511810,-7.92837811,-510.000000,20.000000
-255.59524536,106.37635040,-7.93354797,-510.000000,20.000000
-255.55819702,106.46721649,-7.93743610,-510.000000,20.000000
-255.52128601,106.55771637,-7.94005013,-510.000000,20.000000
-255.46937561,106.68462372,-7.87947178,-510.000000,20.000000
-255.42172241,106.80119324,-7.83262062,-510.000000,20.000000
-255.37094116,106.92529297,-7.76819420,-510.000000,20.000000
-255.32434082,107.03926086,-7.71770477,-510.000000,20.000000
-255.30166626,107.09509277,-7.75709057,-510.000000,20.000000
-255.27883911,107.15126038,-7.79591560,-510.000000,20.000000
-255.25588989,107.20775604,-7.83417702,-510.000000,20.000000
-255.23280334,107.26457977,-7.87187099,-510.000000,20.000000
-255.19226074,107.36373138,-7.82904148,-510.000000,20.000000
-255.15182495,107.46259308,-7.78528976,-510.000000,20.000000
-255.11212158,107.55966949,-7.73968887,-510.000000,20.000000
-255.07255554,107.65641785,-7.69317341,-510.000000,20.000000
-255.04411316,107.72614288,-7.69282150,-510.000000,20.000000
-255.01577759,107.79558563,-7.69164276,-510.000000,20.000000
-254.98756409,107.86475372,-7.68964195,-510.000000,20.000000
-254.96266174,107.92587280,-7.70318222,-510.000000,20.000000
-254.94152832,107.97785950,-7.73169518,-510.000000,20.000000
-254.91999817,108.03081512,-7.76011276,-510.000000,20.000000
-254.89866638,108.08325958,-7.78764248,-510.000000,20.000000
-254.87695313,108.13666534,-7.81505680,-510.000000,20.000000
-254.84988403,108.20299530,-7.80780983,-510.000000,20.000000
-254.82264709,108.26974487,-7.80017948,-510.000000,20.000000
-254.79583740,108.33541107,-7.79144478,-510.000000,20.000000
-254.77163696,108.39479065,-7.79922199,-510.000000,20.000000
-254.74263000,108.46573639,-7.77178860,-510.000000,20.000000
-254.71357727,108.53679657,-7.74385643,-510.000000,20.000000
-254.68507385,108.60649872,-7.71477890,-510.000000,20.000000
-254.65653992,108.67630005,-7.68520260,-510.000000,20.000000
-254.63104248,108.73870087,-7.67171001,-510.000000,20.000000
-254.60815430,108.79483795,-7.67478752,-510.000000,20.000000
-254.58291626,108.85662079,-7.66000175,-510.000000,20.000000
-254.56018066,108.91238403,-7.66190147,-510.000000,20.000000
-254.53579712,108.97206879,-7.64530754,-510.000000,20.000000
-254.51350403,109.02673340,-7.64579868,-510.000000,20.000000
-254.48937988,109.08575439,-7.62800503,-510.000000,20.000000
-254.46725464,109.14000702,-7.62738419,-510.000000,20.000000
-254.44754028,109.18843842,-7.64358234,-510.000000,20.000000
-254.42747498,109.23771667,-7.65958405,-510.000000,20.000000
-254.40765381,109.28639221,-7.67491817,-510.000000,20.000000
-254.38940430,109.33135986,-7.70775509,-510.000000,20.000000
-254.36788940,109.38407898,-7.70429325,-510.000000,20.000000
-254.34614563,109.43737030,-7.70054054,-510.000000,20.000000
-254.32475281,109.48976135,-7.69608212,-510.000000,20.000000
-254.30482483,109.53869629,-7.70918846,-510.000000,20.000000
-254.28190613,109.59477234,-7.68587685,-510.000000,20.000000
-254.26043701,109.64736938,-7.68012238,-510.000000,20.000000
-254.23780823,109.70268250,-7.65573311,-510.000000,20.000000
-254.21655273,109.75478363,-7.64896297,-510.000000,20.000000
-254.19593811,109.80524445,-7.64138794,-510.000000,20.000000
-254.17648315,109.85303497,-7.65155792,-510.000000,20.000000
-254.15727234,109.90016937,-7.66116905,-510.000000,20.000000
-254.13774109,109.94809723,-7.67051315,-510.000000,20.000000
-254.11848450,109.99536896,-7.67930794,-510.000000,20.000000
-254.09890747,110.04343414,-7.68782330,-510.000000,20.000000
-254.07958984,110.09082794,-7.69580078,-510.000000,20.000000
-254.05995178,110.13900757,-7.70348454,-510.000000,20.000000
-254.03962708,110.18878174,-7.69242096,-510.000000,20.000000
-254.02000427,110.23693848,-7.69925213,-510.000000,20.000000
-254.00065613,110.28440857,-7.70557213,-510.000000,20.000000
-253.98098755,110.33265686,-7.71157169,-510.000000,20.000000
-253.96086121,110.38194275,-7.69877815,-510.000000,20.000000
-253.94081116,110.43099976,-7.68554878,-510.000000,20.000000
-253.92086792,110.47982025,-7.67188644,-510.000000,20.000000
-253.90159607,110.52708435,-7.67612457,-510.000000,20.000000
-253.88209534,110.57483673,-7.66156006,-510.000000,20.000000
-253.86285400,110.62201691,-7.66498375,-510.000000,20.000000
-253.84390259,110.66849518,-7.66796112,-510.000000,20.000000
-253.82464600,110.71572113,-7.67058277,-510.000000,20.000000
-253.80506897,110.76361847,-7.65442467,-510.000000,20.000000
-253.78585815,110.81073761,-7.65623283,-510.000000,20.000000
-253.76663208,110.85787201,-7.65763474,-510.000000,20.000000
-253.74740601,110.90501404,-7.65863419,-510.000000,20.000000
-253.72808838,110.95227814,-7.64084244,-510.000000,20.000000
-253.70890808,110.99929047,-7.64103317,-510.000000,20.000000
-253.68972778,111.04630280,-7.64081955,-510.000000,20.000000
-253.67056274,111.09331512,-7.64020538,-510.000000,20.000000
-253.65138245,111.14031982,-7.63918686,-510.000000,20.000000
-253.63250732,111.18658447,-7.63779068,-510.000000,20.000000
-253.61334229,111.23357391,-7.63597393,-510.000000,20.000000
-253.59417725,111.28063965,-7.65215874,-510.000000,20.000000
-253.57496643,111.32772827,-7.64953518,-510.000000,20.000000
-253.55577087,111.37478638,-7.64650822,-510.000000,20.000000
-253.53657532,111.42182922,-7.64307785,-510.000000,20.000000
-253.51687622,111.47020721,-7.65757561,-510.000000,20.000000
-253.49734497,111.51804352,-7.65325928,-510.000000,20.000000
-253.47813416,111.56513214,-7.64860153,-510.000000,20.000000
-253.45863342,111.61289978,-7.64345837,-510.000000,20.000000
-253.43945313,111.65990448,-7.63798904,-510.000000,20.000000
-253.41998291,111.70759583,-7.63202190,-510.000000,20.000000
-253.40083313,111.75451660,-7.62574005,-510.000000,20.000000
-253.38139343,111.80210876,-7.61895084,-510.000000,20.000000
-253.36228943,111.84893036,-7.61185932,-510.000000,20.000000
-253.34289551,111.89641571,-7.60424900,-510.000000,20.000000
-253.32276917,111.94583893,-7.61450577,-510.000000,20.000000
-253.30224609,111.99618530,-7.62418365,-510.000000,20.000000
-253.28195190,112.04602051,-7.63353634,-510.000000,20.000000
-253.26219177,112.09438324,-7.62406445,-510.000000,20.000000
-253.24276733,112.14195251,-7.61431885,-510.000000,20.000000
-253.22308350,112.19016266,-7.60400105,-510.000000,20.000000
-253.20231628,112.24110413,-7.61141491,-510.000000,20.000000
-253.18264771,112.28928375,-7.60022163,-510.000000,20.000000
-253.16178894,112.34046173,-7.60670853,-510.000000,20.000000
-253.14054871,112.39253998,-7.61253357,-510.000000,20.000000
-253.11955261,112.44407654,-7.61805344,-510.000000,20.000000
-253.09954834,112.49301910,-7.60487080,-510.000000,20.000000
-253.07815552,112.54548645,-7.60923767,-510.000000,20.000000
-253.05641174,112.59883118,-7.61289310,-510.000000,20.000000
-253.03488159,112.65162659,-7.61624622,-510.000000,20.000000
-253.01489258,112.70054626,-7.60120296,-510.000000,20.000000
-252.99523926,112.74863434,-7.58595181,-510.000000,20.000000
-252.97534180,112.79732513,-7.57003975,-510.000000,20.000000
-252.95579529,112.84516907,-7.55393410,-510.000000,20.000000
-252.93147278,112.90488434,-7.57188034,-510.000000,20.000000
-252.90699768,112.96500397,-7.58918381,-510.000000,20.000000
-252.88235474,113.02552795,-7.60584164,-510.000000,20.000000
-252.85754395,113.08645630,-7.62184620,-510.000000,20.000000
-252.83694458,113.13684082,-7.60234165,-510.000000,20.000000
-252.81669617,113.18635559,-7.58265972,-510.000000,20.000000
-252.79621887,113.23642731,-7.56223297,-510.000000,20.000000
-252.77360535,113.29184723,-7.55876541,-510.000000,20.000000
-252.75291443,113.34243774,-7.53705788,-510.000000,20.000000
-252.72998047,113.39864349,-7.53219318,-510.000000,20.000000
-252.70938110,113.44901276,-7.50948524,-510.000000,20.000000
-252.68641663,113.50527191,-7.50351524,-510.000000,20.000000
-252.66285706,113.56301880,-7.49628639,-510.000000,20.000000
-252.63670349,113.62718201,-7.50553703,-510.000000,20.000000
-252.61300659,113.68521118,-7.49701977,-510.000000,20.000000
-252.58663940,113.74991608,-7.50485611,-510.000000,20.000000
-252.55955505,113.81636047,-7.51120663,-510.000000,20.000000
-252.52928162,113.89071655,-7.53324223,-510.000000,20.000000
-252.49876404,113.96565247,-7.55434132,-510.000000,20.000000
-252.46801758,114.04116821,-7.57449341,-510.000000,20.000000
-252.43966675,114.11068726,-7.57662487,-510.000000,20.000000
-252.40820313,114.18791199,-7.59449291,-510.000000,20.000000
-252.37956238,114.25813293,-7.59485435,-510.000000,20.000000
-252.34771729,114.33631897,-7.61079693,-510.000000,20.000000
-252.32194519,114.39939117,-7.59299374,-510.000000,20.000000
-252.29267883,114.47112274,-7.59030342,-510.000000,20.000000
-252.26330566,114.54309845,-7.58671951,-510.000000,20.000000
-252.23384094,114.61531067,-7.58223724,-510.000000,20.000000
-252.20370483,114.68917847,-7.57587910,-510.000000,20.000000
-252.17004395,114.77175903,-7.58453941,-510.000000,20.000000
-252.13966370,114.84617615,-7.57619572,-510.000000,20.000000
-252.10566711,114.92956543,-7.58268929,-510.000000,20.000000
-252.08227539,114.98667908,-7.54092312,-510.000000,20.000000
-252.05902100,115.04341125,-7.49855518,-510.000000,20.000000
-252.03593445,115.09975433,-7.45559025,-510.000000,20.000000
-252.00895691,115.16574097,-7.42690182,-510.000000,20.000000
-251.96060181,115.28453064,-7.46952438,-510.000000,20.000000
-251.91204834,115.40383911,-7.51075363,-510.000000,20.000000
-251.86270142,115.52503967,-7.54942322,-510.000000,20.000000
-251.81317139,115.64669800,-7.58668900,-510.000000,20.000000
