length_scale,process_noise,lml
0.5,0.01,-1.12415e+06
0.5,0.0710204,-194780
0.5,0.132041,-111577
0.5,0.193061,-80476.7
0.5,0.254082,-64208.3
0.5,0.315102,-54262.4
0.5,0.376122,-47508.1
0.5,0.437143,-42575.4
0.5,0.498163,-38929
0.5,0.559184,-36019.5
0.5,0.620204,-33783.4
0.5,0.681224,-31941.2
0.5,0.742245,-30318.2
0.5,0.803265,-28905.8
0.5,0.864286,-27949.4
0.5,0.925306,-26807.7
0.5,0.986327,-25917.4
0.5,1.04735,-25120
0.5,1.10837,-24517.5
0.5,1.16939,-24768.8
0.5,1.23041,-23284.7
0.5,1.29143,-22845.6
0.5,1.35245,-22411.7
0.5,1.41347,-22543.3
0.5,1.47449,-22027
0.5,1.53551,-21586.4
0.5,1.59653,-21272
0.5,1.65755,-21016.8
0.5,1.71857,-20491.9
0.5,1.77959,-21798.4
0.5,1.84061,-20435.4
0.5,1.90163,-21555.8
0.5,1.96265,-19482.8
0.5,2.02367,-19761.7
0.5,2.08469,-19071.3
0.5,2.14571,-21684.8
0.5,2.20673,-19188.8
0.5,2.26776,-19834.5
0.5,2.32878,-19279.2
0.5,2.3898,-19871.9
0.5,2.45082,-18762
0.5,2.51184,-20676.4
0.5,2.57286,-18406.2
0.5,2.63388,-20990.1
0.5,2.6949,-18447
0.5,2.75592,-19062.2
0.5,2.81694,-19606.8
0.5,2.87796,-17323.1
0.5,2.93898,-18281.9
0.5,3,-19400.4
0.5,3.06102,-18950.2
0.5,3.12204,-17392.4
0.5,3.18306,-17688.8
0.5,3.24408,-17476.8
0.5,3.3051,-nan
0.5,3.36612,-21524.8
0.5,3.42714,-23875.7
0.5,3.48816,-18649.7
0.5,3.54918,-16563
0.5,3.6102,-25540.1
0.5,3.67122,-16411.1
0.5,3.73224,-16980
0.5,3.79327,-17848.3
0.5,3.85429,-17673.3
0.5,3.91531,-16650.3
0.5,3.97633,-16328.6
0.5,4.03735,-20813
0.5,4.09837,-16094.3
0.5,4.15939,-nan
0.5,4.22041,-26333.2
0.5,4.28143,-16531.2
0.5,4.34245,-65376.2
0.5,4.40347,-16467
0.5,4.46449,-28367.1
0.5,4.52551,-nan
0.5,4.58653,-15770.6
0.5,4.64755,-24483.3
0.5,4.70857,-nan
0.5,4.76959,-nan
0.5,4.83061,-20172.8
0.5,4.89163,-16042.2
0.5,4.95265,-15656
0.5,5.01367,-15544.8
0.5,5.07469,-15988.9
0.5,5.13571,-19890.4
0.5,5.19673,-nan
0.5,5.25776,-nan
