length_scale,process_noise,lml
0.5,0.01,-2.23522e+06
0.5,0.025102,-957266
0.5,0.0402041,-611417
0.5,0.0553061,-450070
0.5,0.0704082,-356642
0.5,0.0855102,-295675
0.5,0.100612,-252772
0.5,0.115714,-220922
0.5,0.130816,-196359
0.5,0.145918,-176823
0.5,0.16102,-160931
0.5,0.176122,-147745
0.5,0.191224,-136616
0.5,0.206327,-127118
0.5,0.221429,-118906
0.5,0.236531,-111740
0.5,0.251633,-105429
0.5,0.266735,-99825.6
0.5,0.281837,-94826.9
0.5,0.296939,-90343
0.5,0.312041,-86289.2
0.5,0.327143,-82599.8
0.5,0.342245,-79242.8
0.5,0.357347,-76161.5
0.5,0.372449,-73345
0.5,0.387551,-70742.5
0.5,0.402653,-68328.1
0.5,0.417755,-66098.2
0.5,0.432857,-64017
0.5,0.447959,-62086.8
0.5,0.463061,-60271.5
0.5,0.478163,-58573.9
0.5,0.493265,-56996.5
0.5,0.508367,-55500.5
0.5,0.523469,-54086.8
0.5,0.538571,-52759.2
0.5,0.553673,-51501.5
0.5,0.568776,-50315.6
0.5,0.583878,-49181.4
0.5,0.59898,-48121.6
0.5,0.614082,-47105.6
0.5,0.629184,-46134.8
0.5,0.644286,-45212.3
0.5,0.659388,-44327.7
0.5,0.67449,-43492.8
0.5,0.689592,-42691.2
0.5,0.704694,-41935.1
0.5,0.719796,-41195.1
0.5,0.734898,-40488.9
0.5,0.75,-39824.5
0.693878,0.01,-1.31185e+06
0.693878,0.025102,-554937
0.693878,0.0402041,-355476
0.693878,0.0553061,-263092
0.693878,0.0704082,-209753
0.693878,0.0855102,-175022
0.693878,0.100612,-150567
0.693878,0.115714,-132406
0.693878,0.130816,-118428
0.693878,0.145918,-107281
0.693878,0.16102,-98230.1
0.693878,0.176122,-90695.7
0.693878,0.191224,-84349.2
0.693878,0.206327,-78906.8
0.693878,0.221429,-74227.8
0.693878,0.236531,-70135
0.693878,0.251633,-66518.7
0.693878,0.266735,-63320
0.693878,0.281837,-60462
0.693878,0.296939,-57896
0.693878,0.312041,-55578.3
0.693878,0.327143,-53470
0.693878,0.342245,-51548.1
0.693878,0.357347,-49771.7
0.693878,0.372449,-48169.4
0.693878,0.387551,-46694.6
0.693878,0.402653,-45288.4
0.693878,0.417755,-44020.4
0.693878,0.432857,-42834.6
0.693878,0.447959,-41729.8
0.693878,0.463061,-40716.2
0.693878,0.478163,-39771.4
0.693878,0.493265,-38875.8
0.693878,0.508367,-38489.3
0.693878,0.523469,-nan
0.693878,0.538571,-nan
