length_scale,process_noise,lml
0.5,0.01,-2.45644e+06
0.5,0.0302041,-857844
0.5,0.0504082,-520393
0.5,0.0706122,-373635
0.5,0.0908163,-291507
0.5,0.11102,-239035
0.5,0.131224,-202611
0.5,0.151429,-175851
0.5,0.171633,-155386
0.5,0.191837,-139200
0.5,0.212041,-126103
0.5,0.232245,-115282
0.5,0.252449,-106194
0.5,0.272653,-98452.6
0.5,0.292857,-91782.6
0.5,0.313061,-85985.4
0.5,0.333265,-80890.4
0.5,0.353469,-76373.8
0.5,0.373673,-72357
0.5,0.393878,-68745.1
0.5,0.414082,-65492
0.5,0.434286,-62544
0.5,0.45449,-59871.5
0.5,0.474694,-57413.1
0.5,0.494898,-55169.8
0.5,0.515102,-53099.7
0.5,0.535306,-51191.5
0.5,0.55551,-49426.8
0.5,0.575714,-47829.6
0.5,0.595918,-nan
0.5,0.616122,-nan
0.5,0.636327,-nan
0.5,0.656531,-nan
0.5,0.676735,-nan
0.5,0.696939,-nan
0.5,0.717143,-nan
0.5,0.737347,-nan
0.5,0.757551,-nan
0.5,0.777755,-nan
0.5,0.797959,-nan
0.5,0.818163,-nan
0.5,0.838367,-nan
0.5,0.858571,-nan
0.5,0.878776,-nan
0.5,0.89898,-nan
0.5,0.919184,-nan
0.5,0.939388,-nan
0.5,0.959592,-nan
0.5,0.979796,-nan
0.5,1,-nan
0.795918,0.01,-1.09554e+06
0.795918,0.0302041,-385739
0.795918,0.0504082,-239169
0.795918,0.0706122,-175514
0.795918,0.0908163,-139858
0.795918,0.11102,-117047
0.795918,0.131224,-101215
0.795918,0.151429,-89605.9
0.795918,0.171633,-80708.2
0.795918,0.191837,-73776.6
0.795918,0.212041,-68175.8
0.795918,0.232245,-63779.7
0.795918,0.252449,-60242.7
0.795918,0.272653,-57671
0.795918,0.292857,-nan
0.795918,0.313061,-nan
0.795918,0.333265,-nan
0.795918,0.353469,-nan
0.795918,0.373673,-nan
0.795918,0.393878,-nan
0.795918,0.414082,-nan
0.795918,0.434286,-nan
0.795918,0.45449,-nan
0.795918,0.474694,-nan
0.795918,0.494898,-nan
0.795918,0.515102,-nan
0.795918,0.535306,-nan
0.795918,0.55551,-nan
0.795918,0.575714,-nan
0.795918,0.595918,-nan
0.795918,0.616122,-nan
0.795918,0.636327,-nan
0.795918,0.656531,-nan
0.795918,0.676735,-nan
0.795918,0.696939,-nan
0.795918,0.717143,-nan
0.795918,0.737347,-nan
0.795918,0.757551,-nan
0.795918,0.777755,-nan
0.795918,0.797959,-nan
0.795918,0.818163,-nan
0.795918,0.838367,-nan
0.795918,0.858571,-nan
0.795918,0.878776,-nan
0.795918,0.89898,-nan
0.795918,0.919184,-nan
0.795918,0.939388,-nan
0.795918,0.959592,-nan
0.795918,0.979796,-nan
0.795918,1,-nan
1.09184,0.01,-651654
1.09184,0.0302041,-247402
1.09184,0.0504082,-163833
1.09184,0.0706122,-127636
1.09184,0.0908163,-107764
1.09184,0.11102,-95672.8
1.09184,0.131224,-88488.2
1.09184,0.151429,-85685.9
1.09184,0.171633,-94107.5
1.09184,0.191837,-nan
