length_scale,process_noise,lml
0.5,0.01,-2.45644e+06
0.5,0.0304167,-852011
0.5,0.0508333,-516131
0.5,0.07125,-370341
0.5,0.0916667,-288835
0.5,0.112083,-236791
0.5,0.1325,-200680
0.5,0.152917,-174162
0.5,0.173333,-153870
0.5,0.19375,-137842
0.5,0.214167,-124875
0.5,0.234583,-114148
0.5,0.255,-105150
0.5,0.275417,-97489.8
0.5,0.295833,-90887.7
0.5,0.31625,-85164.1
0.5,0.336667,-80088.4
0.5,0.357083,-75623
0.5,0.3775,-71635.9
0.5,0.397917,-68067.9
0.5,0.418333,-64846.9
0.5,0.43875,-61938.4
0.5,0.459167,-59280.4
0.5,0.479583,-56856.6
0.5,0.5,-54627.5
0.6875,0.01,-1.4139e+06
0.6875,0.0304167,-488931
0.6875,0.0508333,-298791
0.6875,0.07125,-216437
0.6875,0.0916667,-170417
0.6875,0.112083,-140987
0.6875,0.1325,-120553
0.6875,0.152917,-105536
0.6875,0.173333,-94052
0.6875,0.19375,-84987
0.6875,0.214167,-77651.4
0.6875,0.234583,-71615.5
0.6875,0.255,-66578.7
0.6875,0.275417,-62304.1
0.6875,0.295833,-58662.5
0.6875,0.31625,-55595.8
0.6875,0.336667,-52923.2
0.6875,0.357083,-nan
0.6875,0.3775,-nan
0.6875,0.397917,-nan
0.6875,0.418333,-nan
0.6875,0.43875,-nan
0.6875,0.459167,-nan
0.6875,0.479583,-nan
0.6875,0.5,-nan
0.875,0.01,-932019
0.875,0.0304167,-330716
0.875,0.0508333,-207748
0.875,0.07125,-154460
0.875,0.0916667,-124619
0.875,0.112083,-105565
0.875,0.1325,-92420.7
0.875,0.152917,-82861.4
0.875,0.173333,-75780
0.875,0.19375,-70441.3
0.875,0.214167,-66591.2
0.875,0.234583,-64552
0.875,0.255,-nan
0.875,0.275417,-nan
0.875,0.295833,-nan
0.875,0.31625,-nan
0.875,0.336667,-nan
0.875,0.357083,-nan
0.875,0.3775,-nan
0.875,0.397917,-nan
0.875,0.418333,-nan
0.875,0.43875,-nan
0.875,0.459167,-nan
0.875,0.479583,-nan
0.875,0.5,-nan
1.0625,0.01,-679651
1.0625,0.0304167,-253993
1.0625,0.0508333,-166807
1.0625,0.07125,-128945
1.0625,0.0916667,-108022
1.0625,0.112083,-95120
