length_scale,process_noise,lml
0.1,0.01,-1.36689e+07
0.1,0.0114815,-1.23058e+07
0.1,0.0131826,-1.10421e+07
0.1,0.0151356,-9.87775e+06
0.1,0.017378,-8.81134e+06
0.1,0.0199526,-7.8398e+06
0.1,0.0229087,-6.95912e+06
0.1,0.0263027,-6.1643e+06
0.1,0.0301995,-5.44984e+06
0.1,0.0346737,-4.80997e+06
0.1,0.0398107,-4.2388e+06
0.1,0.0457088,-3.73039e+06
0.1,0.0524807,-3.27908e+06
0.1,0.060256,-2.87939e+06
0.1,0.0691831,-2.52612e+06
0.1,0.0794328,-2.21446e+06
0.1,0.0912011,-1.93998e+06
0.1,0.104713,-1.69857e+06
0.1,0.120226,-1.48653e+06
0.1,0.138038,-1.30049e+06
0.1,0.158489,-1.13744e+06
0.1,0.18197,-994653
0.1,0.20893,-869724
0.1,0.239883,-760502
0.1,0.275423,-665060
0.1,0.316228,-581721
0.1,0.363078,-508992
0.1,0.416869,-445546
0.1,0.47863,-390241
0.1,0.549541,-342045
0.1,0.630957,-300060
0.1,0.724436,-263506
0.1,0.831764,-231702
0.1,0.954993,-204031
0.1,1.09648,-179980
0.1,1.25893,-159088
0.1,1.44544,-140942
0.1,1.65959,-125193
0.1,1.90546,-111538
0.1,2.18776,-99710.3
0.1,2.51189,-89461.7
0.1,2.88403,-80608.5
0.1,3.31131,-72954.3
0.1,3.80189,-66353.2
0.1,4.36516,-60661
0.1,5.01187,-55775.2
0.1,5.7544,-51576.7
0.1,6.60693,-48055.9
0.1,7.58578,-44914
0.1,8.70964,-42552.9
0.109648,0.01,-1.30858e+07
0.109648,0.0114815,-1.17669e+07
0.109648,0.0131826,-1.05471e+07
0.109648,0.0151356,-9.42563e+06
0.109648,0.017378,-8.4005e+06
0.109648,0.0199526,-7.46825e+06
0.109648,0.0229087,-6.6245e+06
0.109648,0.0263027,-5.86407e+06
0.109648,0.0301995,-5.18141e+06
0.109648,0.0346737,-4.57069e+06
0.109648,0.0398107,-4.02609e+06
0.109648,0.0457088,-3.5418e+06
0.109648,0.0524807,-3.11219e+06
0.109648,0.060256,-2.73202e+06
0.109648,0.0691831,-2.39618e+06
0.109648,0.0794328,-2.10008e+06
0.109648,0.0912011,-1.83939e+06
0.109648,0.104713,-1.61025e+06
0.109648,0.120226,-1.40904e+06
0.109648,0.138038,-1.23257e+06
0.109648,0.158489,-1.07794e+06
0.109648,0.18197,-942584
0.109648,0.20893,-824165
0.109648,0.239883,-720662
0.109648,0.275423,-630237
0.109648,0.316228,-551308
0.109648,0.363078,-482423
0.109648,0.416869,-422349
0.109648,0.47863,-369981
0.109648,0.549541,-324359
0.109648,0.630957,-284615
0.109648,0.724436,-250029
0.109648,0.831764,-219939
0.109648,0.954993,-193770
0.109648,1.09648,-171027
0.109648,1.25893,-151262
0.109648,1.44544,-134118
0.109648,1.65959,-119239
0.109648,1.90546,-106342
0.109648,2.18776,-95170.4
0.109648,2.51189,-85498.4
0.109648,2.88403,-77144.4
0.109648,3.31131,-69928.8
0.109648,3.80189,-63717.7
0.109648,4.36516,-58363.2
0.109648,5.01187,-53768.4
0.109648,5.7544,-49827.7
0.109648,6.60693,-46510.9
0.109648,7.58578,-43587.7
0.109648,8.70964,-41328.7
0.120226,0.01,-1.24791e+07
0.120226,0.0114815,-1.12078e+07
0.120226,0.0131826,-1.00347e+07
0.120226,0.0151356,-8.95867e+06
0.120226,0.017378,-7.97704e+06
0.120226,0.0199526,-7.08592e+06
0.120226,0.0229087,-6.28074e+06
0.120226,0.0263027,-5.55606e+06
0.120226,0.0301995,-4.90638e+06
0.120226,0.0346737,-4.32584e+06
0.120226,0.0398107,-3.80867e+06
0.120226,0.0457088,-3.34916e+06
