length_scale,process_noise,lml
0.3,0.01,-1.56923e+06
0.3,0.213878,-93365.3
0.3,0.417755,-48260.8
0.3,0.621633,-32666.9
0.3,0.82551,-24787.3
0.3,1.02939,-20038.2
0.3,1.23327,-16874.8
0.3,1.43714,-14611.7
0.3,1.64102,-12923.6
0.3,1.8449,-11613.2
0.3,2.04878,-10566
0.3,2.25265,-9706.83
0.3,2.45653,-8998.31
0.3,2.66041,-8405
0.3,2.86429,-7893.31
0.3,3.06816,-7459.98
0.3,3.27204,-7074.05
0.3,3.47592,-6735.54
0.3,3.6798,-6441.02
0.3,3.88367,-6172.12
0.3,4.08755,-5922.54
0.3,4.29143,-5724.55
0.3,4.49531,-5529.18
0.3,4.69918,-5358.36
0.3,4.90306,-5196.31
0.3,5.10694,-5025.27
0.3,5.31082,-4917.46
0.3,5.51469,-4779.08
0.3,5.71857,-4665.76
0.3,5.92245,-4538.67
0.3,6.12633,-4456.63
0.3,6.3302,-4360.48
0.3,6.53408,-4292.79
0.3,6.73796,-4185.23
0.3,6.94184,-nan
0.3,7.14571,-nan
0.3,7.34959,-nan
0.3,7.55347,-3920.26
0.3,7.75735,-nan
0.3,7.96122,-3824.73
0.3,8.1651,-3743.02
0.3,8.36898,-nan
0.3,8.57286,-3653.27
0.3,8.77673,-nan
0.3,8.98061,-3576.67
0.3,9.18449,-3549.08
0.3,9.38837,-3514.06
0.3,9.59224,-3480.57
0.3,9.79612,-3432.41
0.3,10,-nan
0.3,10.2039,-nan
0.3,10.4078,-3347.31
0.3,10.6116,-nan
0.3,10.8155,-nan
0.3,11.0194,-3260.23
0.3,11.2233,-3224.42
0.3,11.4271,-3215.42
0.3,11.631,-3164.83
0.3,11.8349,-nan
0.3,12.0388,-3144.04
0.3,12.2427,-3118.26
0.3,12.4465,-3096.9
0.3,12.6504,-3061.89
0.3,12.8543,-3073.19
0.3,13.0582,-3032.14
0.3,13.262,-nan
0.3,13.4659,-nan
0.3,13.6698,-nan
0.3,13.8737,-nan
0.3,14.0776,-2941.42
0.3,14.2814,-nan
0.3,14.4853,-2945.16
0.3,14.6892,-2917.51
0.3,14.8931,-nan
0.3,15.0969,-2896.56
0.3,15.3008,-2897.69
0.3,15.5047,-2859.34
0.3,15.7086,-2861.31
0.3,15.9124,-nan
0.3,16.1163,-nan
0.3,16.3202,-nan
0.3,16.5241,-nan
0.3,16.728,-nan
0.3,16.9318,-nan
0.3,17.1357,-nan
0.3,17.3396,-nan
0.3,17.5435,-nan
0.3,17.7473,-nan
0.3,17.9512,-nan
0.3,18.1551,-nan
0.3,18.359,-nan
0.3,18.5629,-nan
0.3,18.7667,-nan
0.3,18.9706,-nan
0.3,19.1745,-nan
0.3,19.3784,-nan
0.3,19.5822,-nan
0.3,19.7861,-nan
0.3,19.99,-nan
0.3,20.1939,-nan
0.3,20.3978,-nan
0.3,20.6016,-nan
0.3,20.8055,-nan
0.3,21.0094,-nan
0.3,21.2133,-nan
0.3,21.4171,-nan
0.3,21.621,-nan
0.3,21.8249,-nan
0.3,22.0288,-nan
0.3,22.2327,-nan
0.3,22.4365,-nan
0.3,22.6404,-nan
0.3,22.8443,-nan
0.3,23.0482,-nan
0.3,23.252,-nan
0.3,23.4559,-nan
0.3,23.6598,-nan
0.3,23.8637,-nan
0.3,24.0676,-nan
0.3,24.2714,-nan
0.3,24.4753,-nan
0.3,24.6792,-nan
0.3,24.8831,-nan
0.3,25.0869,-nan
0.3,25.2908,-nan
0.3,25.4947,-nan
0.3,25.6986,-nan
0.3,25.9024,-nan
0.3,26.1063,-nan
0.3,26.3102,-nan
0.3,26.5141,-nan
0.3,26.718,-nan
0.3,26.9218,-nan
0.3,27.1257,-nan
0.3,27.3296,-nan
0.3,27.5335,-nan
0.3,27.7373,-nan
0.3,27.9412,-nan
0.3,28.1451,-nan
0.3,28.349,-nan
0.3,28.5529,-nan
0.3,28.7567,-nan
0.3,28.9606,-nan
0.3,29.1645,-nan
0.3,29.3684,-nan
