length_scale,process_noise,lml
0.5,0.01,-1.18611e+06
0.5,0.02,-653434
0.5,0.03,-451496
0.5,0.04,-344997
0.5,0.05,-279172
0.5,0.06,-234455
0.5,0.07,-202082
0.5,0.08,-177566
0.5,0.09,-158358
0.5,0.1,-142897
0.5,0.11,-130188
0.5,0.12,-119552
0.5,0.13,-110527
0.5,0.14,-102768
0.5,0.15,-96027.3
0.5,0.16,-90119
0.5,0.17,-84895.7
0.5,0.18,-80245.8
0.5,0.19,-76079
0.5,0.2,-72324.6
0.5,0.21,-68925
0.5,0.22,-65831.5
0.5,0.23,-63004.2
0.5,0.24,-60410.4
0.5,0.25,-58023.4
0.5,0.26,-55819
0.5,0.27,-53775.4
0.5,0.28,-51878.6
0.5,0.29,-50110.9
0.5,0.3,-48459.8
0.5,0.31,-46914.8
0.5,0.32,-45467.5
0.5,0.33,-44106.2
0.5,0.34,-42824.5
0.5,0.35,-41616.4
0.5,0.36,-40476.3
0.5,0.37,-39396
0.5,0.38,-38373.6
0.5,0.39,-37403.4
0.5,0.4,-36480.1
0.5,0.41,-35603.7
0.5,0.42,-34768.6
0.5,0.43,-33971.1
0.5,0.44,-33212.5
0.5,0.45,-32484.6
0.5,0.46,-31790.3
0.5,0.47,-31125.3
0.5,0.48,-30487
0.5,0.49,-29875.1
0.5,0.5,-29289.1
0.693878,0.01,-876379
0.693878,0.02,-473823
0.693878,0.03,-325178
0.693878,0.04,-247622
0.693878,0.05,-199961
0.693878,0.06,-167688
0.693878,0.07,-144389
0.693878,0.08,-126770
0.693878,0.09,-112983
0.693878,0.1,-101899
0.693878,0.11,-92795.1
0.693878,0.12,-85181.6
0.693878,0.13,-78724.8
0.693878,0.14,-73174.8
0.693878,0.15,-68356
0.693878,0.16,-64131.5
0.693878,0.17,-60401.7
0.693878,0.18,-57078.9
0.693878,0.19,-54103.3
0.693878,0.2,-51422.8
0.693878,0.21,-48996
0.693878,0.22,-46787.6
0.693878,0.23,-44771.1
0.693878,0.24,-42920.9
0.693878,0.25,-41217.7
0.693878,0.26,-39645.7
0.693878,0.27,-38189
0.693878,0.28,-36835.8
0.693878,0.29,-35575.7
0.693878,0.3,-34399.1
0.693878,0.31,-33298.2
0.693878,0.32,-32266
0.693878,0.33,-31296.3
0.693878,0.34,-30383.9
0.693878,0.35,-29523.1
0.693878,0.36,-28709.8
0.693878,0.37,-27941.1
0.693878,0.38,-27212.3
0.693878,0.39,-26522.4
0.693878,0.4,-25865.1
0.693878,0.41,-25240.8
0.693878,0.42,-24646.5
0.693878,0.43,-24080.1
0.693878,0.44,-23539.4
0.693878,0.45,-23021.1
0.693878,0.46,-22526.7
0.693878,0.47,-22054.2
0.693878,0.48,-21600.3
0.693878,0.49,-21165.1
0.693878,0.5,-20748.4
0.887755,0.01,-655328
0.887755,0.02,-349863
0.887755,0.03,-239159
0.887755,0.04,-181800
0.887755,0.05,-146673
0.887755,0.06,-122931
0.887755,0.07,-105807
0.887755,0.08,-92877.9
0.887755,0.09,-82755.8
0.887755,0.1,-74626.4
0.887755,0.11,-67943.4
0.887755,0.12,-62363
0.887755,0.13,-57625.9
0.887755,0.14,-53555.3
0.887755,0.15,-50024.4
0.887755,0.16,-46925.4
0.887755,0.17,-44189.5
0.887755,0.18,-41752.9
0.887755,0.19,-39571.5
0.887755,0.2,-37606.2
0.887755,0.21,-35825
0.887755,0.22,-34206.3
0.887755,0.23,-32726.2
0.887755,0.24,-31368.1
0.887755,0.25,-30120.6
0.887755,0.26,-28965.1
0.887755,0.27,-27897.9
0.887755,0.28,-26905.2
0.887755,0.29,-25980.4
0.887755,0.3,-25117.7
0.887755,0.31,-24310.8
0.887755,0.32,-23552
0.887755,0.33,-22842.2
0.887755,0.34,-22171.2
0.887755,0.35,-21541.7
0.887755,0.36,-20944.2
0.887755,0.37,-20380.2
0.887755,0.38,-19845.7
0.887755,0.39,-19338.8
0.887755,0.4,-18858
0.887755,0.41,-18399.9
0.887755,0.42,-17961.5
0.887755,0.43,-17546.9
0.887755,0.44,-17149.1
0.887755,0.45,-16770.7
0.887755,0.46,-16407.6
0.887755,0.47,-16060
0.887755,0.48,-15726.9
0.887755,0.49,-15407.9
0.887755,0.5,-15101.1
1.08163,0.01,-503951
1.08163,0.02,-267796
1.08163,0.03,-183325
1.08163,0.04,-139736
1.08163,0.05,-113107
1.08163,0.06,-95095.2
1.08163,0.07,-82121.4
1.08163,0.08,-72301.5
1.08163,0.09,-64592.3
1.08163,0.1,-58426.4
1.08163,0.11,-53319
1.08163,0.12,-49085.2
1.08163,0.13,-45468.4
1.08163,0.14,-42345.8
1.08163,0.15,-39636.1
1.08163,0.16,-37254.2
1.08163,0.17,-35162.1
1.08163,0.18,-33287.3
1.08163,0.19,-31608.6
1.08163,0.2,-30095.4
1.08163,0.21,-28718.2
1.08163,0.22,-27459.1
1.08163,0.23,-26334.4
1.08163,0.24,-25258.5
1.08163,0.25,-24295.2
1.08163,0.26,-23377.9
1.08163,0.27,-22556.2
1.08163,0.28,-21794.1
1.08163,0.29,-21051.7
1.08163,0.3,-20380.4
1.08163,0.31,-19765.8
1.08163,0.32,-19158.9
1.08163,0.33,-18589.2
1.08163,0.34,-18075.1
1.08163,0.35,-17582.8
1.08163,0.36,-17113.3
1.08163,0.37,-16664.2
1.08163,0.38,-16236.4
1.08163,0.39,-15835.5
1.08163,0.4,-15478.1
1.08163,0.41,-15095
1.08163,0.42,-14745.4
1.08163,0.43,-14418
1.08163,0.44,-14102.6
1.08163,0.45,-13810.3
1.08163,0.46,-13525.2
1.08163,0.47,-13222.4
1.08163,0.48,-12970.6
1.08163,0.49,-12712.6
1.08163,0.5,-12467.5
1.27551,0.01,-399705
1.27551,0.02,-212684
1.27551,0.03,-146362
1.27551,0.04,-112188
1.27551,0.05,-91371.9
1.27551,0.06,-77264.5
1.27551,0.07,-67088.3
1.27551,0.08,-59451.6
1.27551,0.09,-53323.7
1.27551,0.1,-48546.6
1.27551,0.11,-44484.6
1.27551,0.12,-41199.3
1.27551,0.13,-38367.8
1.27551,0.14,-35865.8
1.27551,0.15,-33795.7
1.27551,0.16,-31889.4
1.27551,0.17,-30244.6
1.27551,0.18,-28793.3
1.27551,0.19,-27419.8
1.27551,0.2,-26266.1
1.27551,0.21,-25095.9
1.27551,0.22,-24173.8
1.27551,0.23,-23268.1
1.27551,0.24,-22378.9
1.27551,0.25,-21625.6
1.27551,0.26,-20868.6
1.27551,0.27,-20191.1
1.27551,0.28,-19603.3
1.27551,0.29,-19002
1.27551,0.3,-18472.8
1.27551,0.31,-18014.4
1.27551,0.32,-17485.4
1.27551,0.33,-17031.7
1.27551,0.34,-16584.4
1.27551,0.35,-16253.2
1.27551,0.36,-15817.6
1.27551,0.37,-15544.3
1.27551,0.38,-15166.4
1.27551,0.39,-14803.8
1.27551,0.4,-14598.5
1.27551,0.41,-14273.4
1.27551,0.42,-13969.2
1.27551,0.43,-13676.9
1.27551,0.44,-13436
1.27551,0.45,-13174.8
1.27551,0.46,-12937.1
1.27551,0.47,-12684.3
1.27551,0.48,-12485.7
1.27551,0.49,-12255.1
1.27551,0.5,-12061.3
1.46939,0.01,-326986
1.46939,0.02,-175456
1.46939,0.03,-121950
1.46939,0.04,-94458.8
