length_scale,process_noise,lml
0.5,0.01,-1.18611e+06
0.5,0.0302041,-448660
0.5,0.0504082,-277021
0.5,0.0706122,-200389
0.5,0.0908163,-156971
0.5,0.11102,-129015
0.5,0.131224,-109516
0.5,0.151429,-95137.1
0.5,0.171633,-84100.7
0.5,0.191837,-75359.1
0.5,0.212041,-68268.8
0.5,0.232245,-62402.7
0.5,0.252449,-57466.9
0.5,0.272653,-53258.2
0.5,0.292857,-49626.4
0.5,0.313061,-46461.5
0.5,0.333265,-43680.2
0.5,0.353469,-41213
0.5,0.373673,-39014.3
0.5,0.393878,-37039.9
0.5,0.414082,-35257.5
0.5,0.434286,-33641.4
0.5,0.45449,-32168.1
0.5,0.474694,-30822.6
0.5,0.494898,-29584.6
0.5,0.515102,-28445.2
0.5,0.535306,-27391.7
0.5,0.55551,-26415.3
0.5,0.575714,-25507
0.5,0.595918,-24660.6
0.5,0.616122,-23870.9
0.5,0.636327,-23130
0.5,0.656531,-22436.8
0.5,0.676735,-21783.4
0.5,0.696939,-21169.4
0.5,0.717143,-20588.8
0.5,0.737347,-20041.5
0.5,0.757551,-19523.6
0.5,0.777755,-19031.8
0.5,0.797959,-18566.2
0.5,0.818163,-18123.5
0.5,0.838367,-17701.7
0.5,0.858571,-17301.5
0.5,0.878776,-16917.5
0.5,0.89898,-16553.7
0.5,0.919184,-16204.2
0.5,0.939388,-15869.9
0.5,0.959592,-15550.2
0.5,0.979796,-15243.9
0.5,1,-14949.8
0.897959,0.01,-645854
0.897959,0.0302041,-234078
0.897959,0.0504082,-143364
0.897959,0.0706122,-103370
0.897959,0.0908163,-80826.3
0.897959,0.11102,-66347.9
0.897959,0.131224,-56268.6
0.897959,0.151429,-48838.9
0.897959,0.171633,-43138.9
0.897959,0.191837,-38631
0.897959,0.212041,-34973.4
0.897959,0.232245,-31946.2
0.897959,0.252449,-29402.5
0.897959,0.272653,-27233.5
0.897959,0.292857,-25360.8
0.897959,0.313061,-23729.7
0.897959,0.333265,-22294.2
0.897959,0.353469,-21025.4
0.897959,0.373673,-19891.6
0.897959,0.393878,-18876.5
0.897959,0.414082,-17957.2
0.897959,0.434286,-17123.6
0.897959,0.45449,-16367.6
0.897959,0.474694,-15674.1
0.897959,0.494898,-15038.2
0.897959,0.515102,-14451.9
0.897959,0.535306,-13907.9
0.897959,0.55551,-13407.5
0.897959,0.575714,-12940.3
0.897959,0.595918,-12506.1
0.897959,0.616122,-12099.9
0.897959,0.636327,-11718.2
0.897959,0.656531,-11361.1
0.897959,0.676735,-11026.1
0.897959,0.696939,-10713
0.897959,0.717143,-10414.7
0.897959,0.737347,-10132.9
0.897959,0.757551,-9868.05
0.897959,0.777755,-9615.89
0.897959,0.797959,-9376.88
0.897959,0.818163,-9149.38
0.897959,0.838367,-8934.44
0.897959,0.858571,-8727.79
0.897959,0.878776,-8532.49
0.897959,0.89898,-8344.9
0.897959,0.919184,-8166.59
0.897959,0.939388,-7996.04
0.897959,0.959592,-7832.43
0.897959,0.979796,-7676.61
0.897959,1,-7526.13
1.29592,0.01,-390777
1.29592,0.0302041,-142380
1.29592,0.0504082,-88887.5
