length_scale,process_noise,lml
0.3,0.01,-2.32723e+06
0.3,0.213878,-143657
0.3,0.417755,-77326.5
0.3,0.621633,-54405.9
0.3,0.82551,-42827
0.3,1.02939,-35850.1
0.3,1.23327,-31207
0.3,1.43714,-27889.5
0.3,1.64102,-25407.2
0.3,1.8449,-23478
0.3,2.04878,-21949.6
0.3,2.25265,-20693.9
0.3,2.45653,-19654.1
0.3,2.66041,-18777.7
0.3,2.86429,-18032.6
0.3,3.06816,-17393.3
0.3,3.27204,-16826.1
0.3,3.47592,-16334.3
0.3,3.6798,-15895.7
0.3,3.88367,-15504.4
0.3,4.08755,-15156.6
0.3,4.29143,-14844.6
0.3,4.49531,-14551
0.3,4.69918,-14294.1
0.3,4.90306,-14059.4
0.3,5.10694,-13853.9
0.3,5.31082,-13647.2
0.3,5.51469,-13457.7
0.3,5.71857,-13286.1
0.3,5.92245,-13223.6
0.3,6.12633,-12985.1
0.3,6.3302,-12850.3
0.3,6.53408,-12718
0.3,6.73796,-12627.1
0.3,6.94184,-nan
0.3,7.14571,-12382.7
0.3,7.34959,-12301.8
0.3,7.55347,-12189.7
0.3,7.75735,-12141
0.3,7.96122,-12014.9
0.3,8.1651,-11981.9
0.3,8.36898,-11863.9
0.3,8.57286,-11794.3
0.3,8.77673,-11715
0.3,8.98061,-11659.1
0.3,9.18449,-11592.6
0.3,9.38837,-11532.3
0.3,9.59224,-11471.1
0.3,9.79612,-11419.2
0.3,10,-11386.7
0.3,10.2039,-11322.6
0.3,10.4078,-11277.4
0.3,10.6116,-nan
0.3,10.8155,-nan
0.3,11.0194,-11142
0.3,11.2233,-11107.1
0.3,11.4271,-11060.1
0.3,11.631,-11038.2
0.3,11.8349,-10994.1
0.3,12.0388,-10965
0.3,12.2427,-10926.3
0.3,12.4465,-10895.8
0.3,12.6504,-10897.3
0.3,12.8543,-10827.8
0.3,13.0582,-10810.6
0.3,13.262,-10774.1
0.3,13.4659,-nan
0.3,13.6698,-11602.6
0.3,13.8737,-10723.7
0.3,14.0776,-10745.9
0.3,14.2814,-nan
0.3,14.4853,-10618.7
0.3,14.6892,-10604.4
0.3,14.8931,-nan
0.3,15.0969,-10553.7
0.3,15.3008,-10527.6
0.3,15.5047,-10557.1
0.3,15.7086,-10497.4
0.3,15.9124,-10476.4
0.3,16.1163,-nan
0.3,16.3202,-10432
0.3,16.5241,-nan
0.3,16.728,-10434.3
0.3,16.9318,-10374.1
0.3,17.1357,-nan
0.3,17.3396,-10599.9
0.3,17.5435,-10340.8
0.3,17.7473,-10326.8
0.3,17.9512,-nan
0.3,18.1551,-nan
0.3,18.359,-nan
0.3,18.5629,-nan
0.3,18.7667,-10457.9
0.3,18.9706,-10336.9
0.3,19.1745,-nan
0.3,19.3784,-nan
0.3,19.5822,-nan
0.3,19.7861,-nan
0.3,19.99,-nan
0.3,20.1939,-10155.3
0.3,20.3978,-10151.8
0.3,20.6016,-nan
0.3,20.8055,-nan
0.3,21.0094,-10118.9
0.3,21.2133,-10119.2
0.3,21.4171,-nan
0.3,21.621,-10080.3
0.3,21.8249,-nan
0.3,22.0288,-10058.8
0.3,22.2327,-10067.3
0.3,22.4365,-nan
0.3,22.6404,-10047.1
0.3,22.8443,-10031.9
0.3,23.0482,-10114.7
0.3,23.252,-10002.6
0.3,23.4559,-nan
0.3,23.6598,-9990.65
0.3,23.8637,-9951.01
0.3,24.0676,-nan
0.3,24.2714,-9965.05
0.3,24.4753,-9950.96
0.3,24.6792,-nan
0.3,24.8831,-10678.4
0.3,25.0869,-9923.21
0.3,25.2908,-9916.73
0.3,25.4947,-nan
0.3,25.6986,-nan
0.3,25.9024,-nan
0.3,26.1063,-10026.7
0.3,26.3102,-9891.3
0.3,26.5141,-9874.97
0.3,26.718,-9854.98
0.3,26.9218,-9863.23
0.3,27.1257,-9843.29
0.3,27.3296,-9844.58
0.3,27.5335,-9838.87
0.3,27.7373,-9829.65
0.3,27.9412,-9820.47
0.3,28.1451,-9828.79
0.3,28.349,-9864.84
0.3,28.5529,-nan
0.3,28.7567,-nan
0.3,28.9606,-nan
0.3,29.1645,-9771.29
0.3,29.3684,-9773.23
0.3,29.5722,-9785.38
0.3,29.7761,-nan
0.3,29.98,-nan
0.3,30.1839,-9739.5
0.3,30.3878,-9744.95
0.3,30.5916,-nan
0.3,30.7955,-nan
0.3,30.9994,-9734.69
0.3,31.2033,-9933.22
0.3,31.4071,-nan
0.3,31.611,-9707
0.3,31.8149,-nan
0.3,32.0188,-9683.95
0.3,32.2227,-9700.56
0.3,32.4265,-nan
0.3,32.6304,-9678.27
0.3,32.8343,-nan
0.3,33.0382,-9673.41
0.3,33.242,-nan
0.3,33.4459,-9650.99
