length_scale,process_noise,lml
0.5,0.01,-1.91293e+06
0.5,0.0506122,-436107
0.5,0.0912245,-249148
0.5,0.131837,-175639
0.5,0.172449,-136330
0.5,0.213061,-111860
0.5,0.253673,-95157.6
0.5,0.294286,-83042.8
0.5,0.334898,-73849.7
0.5,0.37551,-66639.9
0.5,0.416122,-60847.1
0.5,0.456735,-56072.7
0.5,0.497347,-52079.7
0.5,0.537959,-48696.1
0.5,0.578571,-45789.2
0.5,0.619184,-43264.9
0.5,0.659796,-41053.5
0.5,0.700408,-39096
0.5,0.74102,-37363.2
0.5,0.781633,-35811.3
0.5,0.822245,-34405.6
0.5,0.862857,-33143.6
0.5,0.903469,-31998.8
0.5,0.944082,-30944.5
0.5,0.984694,-29979.1
0.5,1.02531,-29094.6
0.5,1.06592,-28285.8
0.5,1.10653,-27528.1
0.5,1.14714,-26831.5
0.5,1.18776,-26183.6
0.5,1.22837,-25577.9
0.5,1.26898,-25011.9
0.5,1.30959,-24474.9
0.5,1.3502,-23984
0.5,1.39082,-23516.1
0.5,1.43143,-23070.5
0.5,1.47204,-22661.1
0.5,1.51265,-22262
0.5,1.55327,-21889.6
0.5,1.59388,-21540.2
0.5,1.63449,-21211.4
0.5,1.6751,-20893.9
0.5,1.71571,-20593
0.5,1.75633,-20304
0.5,1.79694,-20036.3
0.5,1.83755,-19773.8
0.5,1.87816,-19521.2
0.5,1.91878,-19290.4
0.5,1.95939,-19064.4
0.5,2,-18845.7
0.55102,0.01,-1.67515e+06
0.55102,0.0506122,-379764
0.55102,0.0912245,-217775
0.55102,0.131837,-154152
0.55102,0.172449,-120108
0.55102,0.213061,-98883
0.55102,0.253673,-84386.5
0.55102,0.294286,-73856.1
0.55102,0.334898,-65848.1
0.55102,0.37551,-59564.9
0.55102,0.416122,-54491.5
0.55102,0.456735,-50315
0.55102,0.497347,-46817.3
0.55102,0.537959,-43858.3
0.55102,0.578571,-41308.8
0.55102,0.619184,-39080.2
0.55102,0.659796,-37129.8
0.55102,0.700408,-35417
0.55102,0.74102,-33876.5
0.55102,0.781633,-32507.5
0.55102,0.822245,-31273.2
0.55102,0.862857,-30149.1
0.55102,0.903469,-29131.5
0.55102,0.944082,-28202.8
0.55102,0.984694,-27355.9
0.55102,1.02531,-26573
0.55102,1.06592,-25843.1
0.55102,1.10653,-25178
0.55102,1.14714,-24545.5
0.55102,1.18776,-23976.1
0.55102,1.22837,-23434.7
0.55102,1.26898,-22926.2
0.55102,1.30959,-22455.2
0.55102,1.3502,-22019.2
0.55102,1.39082,-21605
0.55102,1.43143,-21218.5
0.55102,1.47204,-20838.5
0.55102,1.51265,-20483.6
0.55102,1.55327,-20162.6
0.55102,1.59388,-19844.6
0.55102,1.63449,-19545.1
0.55102,1.6751,-19266.4
0.55102,1.71571,-18997.8
0.55102,1.75633,-18737.4
0.55102,1.79694,-18494
0.55102,1.83755,-18266.2
0.55102,1.87816,-18038.4
0.55102,1.91878,-17827.6
0.55102,1.95939,-17632.3
0.55102,2,-17429
0.602041,0.01,-1.4756e+06
0.602041,0.0506122,-333325
0.602041,0.0912245,-192090
0.602041,0.131837,-136704
0.602041,0.172449,-107099
0.602041,0.213061,-88631.9
0.602041,0.253673,-76015.8
0.602041,0.294286,-66842.2
0.602041,0.334898,-59852.7
0.602041,0.37551,-54378.6
0.602041,0.416122,-49940.9
0.602041,0.456735,-46278.4
0.602041,0.497347,-43240.9
0.602041,0.537959,-40619
0.602041,0.578571,-38351.1
0.602041,0.619184,-36411.8
0.602041,0.659796,-34685.6
0.602041,0.700408,-33165.2
0.602041,0.74102,-31788
0.602041,0.781633,-30586.3
0.602041,0.822245,-29478.5
0.602041,0.862857,-28469.4
0.602041,0.903469,-27555
0.602041,0.944082,-26745.7
0.602041,0.984694,-25963.3
0.602041,1.02531,-25276
0.602041,1.06592,-24621.2
0.602041,1.10653,-24018.4
0.602041,1.14714,-23442.8
0.602041,1.18776,-22942.5
0.602041,1.22837,-22433.9
0.602041,1.26898,-21976.4
0.602041,1.30959,-21555.2
0.602041,1.3502,-21149.8
0.602041,1.39082,-20779.2
0.602041,1.43143,-20420.1
0.602041,1.47204,-20100.6
0.602041,1.51265,-19775.9
0.602041,1.55327,-19488.7
0.602041,1.59388,-19163
0.602041,1.63449,-18889.7
0.602041,1.6751,-18635.6
0.602041,1.71571,-18392.6
0.602041,1.75633,-18156.4
0.602041,1.79694,-17920.8
0.602041,1.83755,-17680.9
0.602041,1.87816,-17505.9
0.602041,1.91878,-17291.7
0.602041,1.95939,-17149.5
0.602041,2,-nan
0.653061,0.01,-1.30787e+06
0.653061,0.0506122,-294936
0.653061,0.0912245,-170813
0.653061,0.131837,-122197
0.653061,0.172449,-96220.4
0.653061,0.213061,-80032.9
0.653061,0.253673,-68961
0.653061,0.294286,-60910.4
0.653061,0.334898,-54804.6
0.653061,0.37551,-49998
0.653061,0.416122,-46101
0.653061,0.456735,-42899.9
0.653061,0.497347,-40232.8
0.653061,0.537959,-37933.1
0.653061,0.578571,-35946.7
0.653061,0.619184,-34247.1
0.653061,0.659796,-32756.7
0.653061,0.700408,-31383.9
0.653061,0.74102,-30208.7
0.653061,0.781633,-29140.5
0.653061,0.822245,-28168
0.653061,0.862857,-27304
0.653061,0.903469,-26506.5
0.653061,0.944082,-25758.9
0.653061,0.984694,-25087.1
0.653061,1.02531,-24460.7
0.653061,1.06592,-23913.1
0.653061,1.10653,-23370.1
0.653061,1.14714,-22869.1
0.653061,1.18776,-22405.5
0.653061,1.22837,-21981.1
0.653061,1.26898,-21586.4
0.653061,1.30959,-21205.8
0.653061,1.3502,-20841.3
0.653061,1.39082,-20518.4
0.653061,1.43143,-20259.1
0.653061,1.47204,-nan
0.653061,1.51265,-nan
0.653061,1.55327,-nan
0.653061,1.59388,-nan
0.653061,1.63449,-nan
0.653061,1.6751,-nan
0.653061,1.71571,-nan
0.653061,1.75633,-nan
0.653061,1.79694,-nan
0.653061,1.83755,-nan
0.653061,1.87816,-nan
0.653061,1.91878,-nan
0.653061,1.95939,-nan
0.653061,2,-nan
0.704082,0.01,-1.1664e+06
0.704082,0.0506122,-263166
0.704082,0.0912245,-153276
0.704082,0.131837,-110246
0.704082,0.172449,-87197.9
0.704082,0.213061,-72856.5
0.704082,0.253673,-63008.4
0.704082,0.294286,-55864.3
0.704082,0.334898,-50402.4
0.704082,0.37551,-46138.1
0.704082,0.416122,-42649.2
0.704082,0.456735,-39802.5
0.704082,0.497347,-37388.3
0.704082,0.537959,-35328.7
0.704082,0.578571,-33602.6
0.704082,0.619184,-32038.4
0.704082,0.659796,-30682.2
0.704082,0.700408,-29464.8
0.704082,0.74102,-28377.5
0.704082,0.781633,-27430.8
0.704082,0.822245,-26544.6
0.704082,0.862857,-25747
0.704082,0.903469,-25048.8
0.704082,0.944082,-24355
0.704082,0.984694,-23757.4
0.704082,1.02531,-23179.5
0.704082,1.06592,-22682.5
0.704082,1.10653,-22224.3
0.704082,1.14714,-nan
0.704082,1.18776,-nan
0.704082,1.22837,-nan
0.704082,1.26898,-nan
0.704082,1.30959,-nan
0.704082,1.3502,-nan
0.704082,1.39082,-nan
0.704082,1.43143,-nan
0.704082,1.47204,-nan
0.704082,1.51265,-nan
0.704082,1.55327,-nan
0.704082,1.59388,-nan
0.704082,1.63449,-nan
0.704082,1.6751,-nan
0.704082,1.71571,-nan
0.704082,1.75633,-nan
0.704082,1.79694,-nan
0.704082,1.83755,-nan
0.704082,1.87816,-nan
0.704082,1.91878,-nan
0.704082,1.95939,-nan
0.704082,2,-nan
0.755102,0.01,-1.04654e+06
0.755102,0.0506122,-236764
0.755102,0.0912245,-138930
0.755102,0.131837,-100573
0.755102,0.172449,-80075.6
0.755102,0.213061,-67268
0.755102,0.253673,-58510.2
0.755102,0.294286,-52113.7
0.755102,0.334898,-47234.9
0.755102,0.37551,-43436.5
0.755102,0.416122,-40318.7
0.755102,0.456735,-37759.4
0.755102,0.497347,-35628.8
0.755102,0.537959,-33803.1
0.755102,0.578571,-32229
0.755102,0.619184,-30832.3
0.755102,0.659796,-29630.3
0.755102,0.700408,-28552.7
0.755102,0.74102,-27648.5
0.755102,0.781633,-26736.8
0.755102,0.822245,-25980.2
0.755102,0.862857,-25306.5
0.755102,0.903469,-24673.2
0.755102,0.944082,-24122.6
0.755102,0.984694,-23601
0.755102,1.02531,-23187.2
0.755102,1.06592,-nan
0.755102,1.10653,-nan
0.755102,1.14714,-nan
0.755102,1.18776,-nan
