length_scale,process_noise,lml
0.5,0.01,-2.18614e+06
0.5,0.0304167,-781035
0.5,0.0508333,-478050
0.5,0.07125,-345476
0.5,0.0916667,-271084
0.5,0.112083,-223436
0.5,0.1325,-190329
0.5,0.152917,-165980
0.5,0.173333,-147315
0.5,0.19375,-132563
0.5,0.214167,-120604
0.5,0.234583,-110712
0.5,0.255,-102404
0.5,0.275417,-95308.2
0.5,0.295833,-89202
0.5,0.31625,-83923.9
0.5,0.336667,-79205.9
0.5,0.357083,-75063
0.5,0.3775,-71380
0.5,0.397917,-68063.4
0.5,0.418333,-65077.2
0.5,0.43875,-62361.8
0.5,0.459167,-59890.6
0.5,0.479583,-57615.5
0.5,0.5,-55572.6
0.6875,0.01,-1.32116e+06
0.6875,0.0304167,-467420
0.6875,0.0508333,-288245
0.6875,0.07125,-210254
0.6875,0.0916667,-166544
0.6875,0.112083,-138540
0.6875,0.1325,-119064
0.6875,0.152917,-104737
0.6875,0.173333,-93732.4
0.6875,0.19375,-85028.6
0.6875,0.214167,-77960.8
0.6875,0.234583,-72114.5
0.6875,0.255,-67175
0.6875,0.275417,-62980.4
0.6875,0.295833,-59381.9
0.6875,0.31625,-56297.4
0.6875,0.336667,-53424.8
0.6875,0.357083,-50955
0.6875,0.3775,-48769.2
0.6875,0.397917,-46838.8
0.6875,0.418333,-45056.3
0.6875,0.43875,-43451.6
0.6875,0.459167,-41973.5
0.6875,0.479583,-40692.7
0.6875,0.5,-39472.4
0.875,0.01,-882671
0.875,0.0304167,-316773
0.875,0.0508333,-199596
0.875,0.07125,-148640
0.875,0.0916667,-120060
0.875,0.112083,-101776
0.875,0.1325,-89021.8
0.875,0.152917,-79620.7
0.875,0.173333,-72422.7
0.875,0.19375,-66817.2
0.875,0.214167,-62187
0.875,0.234583,-58402.9
0.875,0.255,-55309.3
0.875,0.275417,-52721.3
0.875,0.295833,-50653.5
0.875,0.31625,-48814
0.875,0.336667,-47278.9
0.875,0.357083,-46091.1
0.875,0.3775,-45601
0.875,0.397917,-nan
0.875,0.418333,-nan
0.875,0.43875,-nan
0.875,0.459167,-nan
0.875,0.479583,-nan
0.875,0.5,-nan
1.0625,0.01,-643400
1.0625,0.0304167,-239720
1.0625,0.0508333,-156450
1.0625,0.07125,-120187
1.0625,0.0916667,-99853.8
1.0625,0.112083,-86828
1.0625,0.1325,-77870
1.0625,0.152917,-71412.8
1.0625,0.173333,-66578.1
1.0625,0.19375,-63029.5
1.0625,0.214167,-60349.1
1.0625,0.234583,-58600.7
1.0625,0.255,-58104.9
1.0625,0.275417,-59146.6
1.0625,0.295833,-67121.2
1.0625,0.31625,-nan
1.0625,0.336667,-nan
1.0625,0.357083,-nan
1.0625,0.3775,-nan
1.0625,0.397917,-nan
1.0625,0.418333,-nan
1.0625,0.43875,-nan
1.0625,0.459167,-nan
1.0625,0.479583,-nan
1.0625,0.5,-nan
1.25,0.01,-502821
1.25,0.0304167,-198022
1.25,0.0508333,-135032
1.25,0.07125,-107520
1.25,0.0916667,-92139.8
1.25,0.112083,-82526.4
