length_scale,process_noise,lml
0.3,0.01,-1.68236e+06
0.3,0.111837,-197887
0.3,0.213673,-107730
0.3,0.31551,-75251.5
0.3,0.417347,-58517.4
0.3,0.519184,-48338.2
0.3,0.62102,-41487.5
0.3,0.722857,-36570.8
0.3,0.824694,-32867.9
0.3,0.926531,-29977.4
0.3,1.02837,-27667.7
0.3,1.1302,-25769.7
0.3,1.23204,-24190.9
0.3,1.33388,-22860.9
0.3,1.43571,-21709
0.3,1.53755,-20720.1
0.3,1.63939,-20665.8
0.3,1.74122,-19090.3
0.3,1.84306,-18413.8
0.3,1.9449,-17802.1
0.3,2.04673,-17255.4
0.3,2.14857,-16764.9
0.3,2.25041,-16312.6
0.3,2.35224,-15903.2
0.3,2.45408,-15531.4
0.3,2.55592,-15189.9
0.3,2.65776,-14865.4
0.3,2.75959,-14577.9
0.3,2.86143,-14301.7
0.3,2.96327,-14051
0.3,3.0651,-13817.8
0.3,3.16694,-13596.7
0.3,3.26878,-13389.8
0.3,3.37061,-13194.8
0.3,3.47245,-13012.1
0.3,3.57429,-12843
0.3,3.67612,-12673.8
0.3,3.77796,-12523.5
0.3,3.8798,-12381.1
0.3,3.98163,-12243.3
0.3,4.08347,-12112.4
0.3,4.18531,-11987.7
0.3,4.28714,-11882
0.3,4.38898,-11759.9
0.3,4.49082,-11820
0.3,4.59265,-11552.3
0.3,4.69449,-11450.7
0.3,4.79633,-11363.4
0.3,4.89816,-11276.4
0.3,5,-11177.1
0.3,5.10184,-11104.2
0.3,5.20367,-nan
0.3,5.30551,-10951.1
0.3,5.40735,-10871
0.3,5.50918,-10800.2
0.3,5.61102,-10738.8
0.3,5.71286,-10676.4
0.3,5.81469,-10605.9
0.3,5.91653,-10544.3
0.3,6.01837,-10525.4
0.3,6.1202,-10431.7
0.3,6.22204,-10392.5
0.3,6.32388,-10319.2
0.3,6.42571,-10267.6
0.3,6.52755,-10240.1
0.3,6.62939,-10181.8
0.3,6.73122,-10131.3
0.3,6.83306,-10088.9
0.3,6.9349,-10044.5
0.3,7.03673,-10011.2
0.3,7.13857,-nan
0.3,7.24041,-9912.04
0.3,7.34224,-9882.21
0.3,7.44408,-nan
0.3,7.54592,-9806.28
0.3,7.64776,-nan
0.3,7.74959,-9740.66
0.3,7.85143,-9702.95
0.3,7.95327,-nan
0.3,8.0551,-9652.57
0.3,8.15694,-9606.99
0.3,8.25878,-9575.58
0.3,8.36061,-9541.58
0.3,8.46245,-9515.15
0.3,8.56429,-9489.3
0.3,8.66612,-9467.33
0.3,8.76796,-9472.97
0.3,8.8698,-nan
0.3,8.97163,-9385.87
0.3,9.07347,-9355.89
0.3,9.17531,-nan
0.3,9.27714,-9302.14
0.3,9.37898,-9708.5
0.3,9.48082,-9260.53
0.3,9.58265,-nan
0.3,9.68449,-9213.84
0.3,9.78633,-9191.56
0.3,9.88816,-9607.6
0.3,9.99,-9154.19
0.3,10.0918,-9122.89
0.3,10.1937,-9098.75
0.3,10.2955,-nan
0.3,10.3973,-nan
0.3,10.4992,-9645.9
0.3,10.601,-9157.76
0.3,10.7029,-9213.11
0.3,10.8047,-nan
0.3,10.9065,-nan
0.3,11.0084,-8961.88
0.3,11.1102,-8950.78
0.3,11.212,-8929.74
0.3,11.3139,-8929.26
0.3,11.4157,-nan
0.3,11.5176,-8872.39
0.3,11.6194,-8869.25
0.3,11.7212,-nan
0.3,11.8231,-8834.25
0.3,11.9249,-8893.15
0.3,12.0267,-8803.36
0.3,12.1286,-8835.35
0.3,12.2304,-8773.32
0.3,12.3322,-9548.49
0.3,12.4341,-8747.35
0.3,12.5359,-nan
0.3,12.6378,-8745.88
0.3,12.7396,-8708.68
0.3,12.8414,-8695.33
0.3,12.9433,-9194.58
0.3,13.0451,-8681.66
0.3,13.1469,-8658.55
0.3,13.2488,-8635.44
0.3,13.3506,-8639.93
0.3,13.4524,-nan
0.3,13.5543,-nan
0.3,13.6561,-8697.2
0.3,13.758,-8637.31
0.3,13.8598,-8618.68
0.3,13.9616,-8617.09
0.3,14.0635,-8632.53
0.3,14.1653,-9498.03
0.3,14.2671,-nan
0.3,14.369,-nan
0.3,14.4708,-8513.15
0.3,14.5727,-8501.96
0.3,14.6745,-8501.13
0.3,14.7763,-8524.32
0.3,14.8782,-nan
0.3,14.98,-8459.37
0.3,15.0818,-8458.96
0.3,15.1837,-8523.04
0.3,15.2855,-8428.64
0.3,15.3873,-8431.95
0.3,15.4892,-8557.61
0.3,15.591,-8409.05
0.3,15.6929,-8415.86
0.3,15.7947,-nan
0.3,15.8965,-8393.41
0.3,15.9984,-nan
0.3,16.1002,-8371.27
0.3,16.202,-8348.75
0.3,16.3039,-nan
0.3,16.4057,-nan
0.3,16.5076,-8355.03
0.3,16.6094,-8322.7
0.3,16.7112,-8310.69
0.3,16.8131,-nan
0.3,16.9149,-nan
0.3,17.0167,-8393.12
0.3,17.1186,-8296.25
0.3,17.2204,-8277.82
0.3,17.3222,-8276.49
0.3,17.4241,-8264.91
0.3,17.5259,-nan
0.3,17.6278,-nan
0.3,17.7296,-nan
0.3,17.8314,-8443.45
0.3,17.9333,-8257.92
0.3,18.0351,-8236.64
0.3,18.1369,-8215.26
0.3,18.2388,-8217.94
0.3,18.3406,-8200.02
0.3,18.4424,-8202.67
0.3,18.5443,-8184.9
0.3,18.6461,-8170.58
0.3,18.748,-8170
0.3,18.8498,-8172.95
0.3,18.9516,-8155.32
0.3,19.0535,-8151.44
0.3,19.1553,-8154.46
0.3,19.2571,-8133.58
0.3,19.359,-8126.34
0.3,19.4608,-8133
0.3,19.5627,-8132.73
0.3,19.6645,-8122.29
0.3,19.7663,-8128.87
0.3,19.8682,-8145.69
0.3,19.97,-8687.02
0.3,20.0718,-nan
0.3,20.1737,-nan
0.3,20.2755,-nan
0.355102,0.01,-1.57344e+06
0.355102,0.111837,-183123
0.355102,0.213673,-99836.6
0.355102,0.31551,-69852.2
0.355102,0.417347,-54425.3
0.355102,0.519184,-45035.6
0.355102,0.62102,-38721
0.355102,0.722857,-34193.5
0.355102,0.824694,-30784.2
0.355102,0.926531,-28121.3
0.355102,1.02837,-25998
0.355102,1.1302,-24249.6
0.355102,1.23204,-22806.2
0.355102,1.33388,-21575.7
0.355102,1.43571,-20525.1
0.355102,1.53755,-19611.9
0.355102,1.63939,-18816.2
0.355102,1.74122,-18108.7
0.355102,1.84306,-17486.5
0.355102,1.9449,-16934.2
0.355102,2.04673,-16431.3
0.355102,2.14857,-15976.6
0.355102,2.25041,-15564.3
0.355102,2.35224,-15191.2
0.355102,2.45408,-14846.3
0.355102,2.55592,-14529.3
0.355102,2.65776,-14240.5
0.355102,2.75959,-13977
0.355102,2.86143,-13719.4
0.355102,2.96327,-13496.3
0.355102,3.0651,-13282.2
0.355102,3.16694,-13079.5
0.355102,3.26878,-12885.7
0.355102,3.37061,-12710.2
0.355102,3.47245,-12542.1
0.355102,3.57429,-12387.4
0.355102,3.67612,-12238.1
0.355102,3.77796,-12100.4
0.355102,3.8798,-11970.3
0.355102,3.98163,-11847.1
0.355102,4.08347,-11730.4
0.355102,4.18531,-11608.9
