length_scale,process_noise,lml
0.5,0.01,-2.14108e+06
0.5,0.0304167,-764004
0.5,0.0508333,-467462
0.5,0.07125,-337585
0.5,0.0916667,-264623
0.5,0.112083,-217862
0.5,0.1325,-185350
0.5,0.152917,-161418
0.5,0.173333,-143087
0.5,0.19375,-128575
0.5,0.214167,-116822
0.5,0.234583,-107099
0.5,0.255,-98927.2
0.5,0.275417,-91948.9
0.5,0.295833,-85949.2
0.5,0.31625,-80743.6
0.5,0.336667,-76116.1
0.5,0.357083,-72048.5
0.5,0.3775,-68413.4
0.5,0.397917,-65163.8
0.5,0.418333,-62216.9
0.5,0.43875,-59551.7
0.5,0.459167,-57124
0.5,0.479583,-54909.1
0.5,0.5,-52873.1
0.6875,0.01,-1.29619e+06
0.6875,0.0304167,-455890
0.6875,0.0508333,-279743
0.6875,0.07125,-203127
0.6875,0.0916667,-160217
0.6875,0.112083,-132755
0.6875,0.1325,-113675
0.6875,0.152917,-99641.6
0.6875,0.173333,-88876.1
0.6875,0.19375,-80357.9
0.6875,0.214167,-73483.4
0.6875,0.234583,-67770.3
0.6875,0.255,-62976.6
0.6875,0.275417,-58870.3
0.6875,0.295833,-55357.5
0.6875,0.31625,-52342.9
0.6875,0.336667,-49592.4
0.6875,0.357083,-47195.7
0.6875,0.3775,-45077
0.6875,0.397917,-43167.7
0.6875,0.418333,-41446
0.6875,0.43875,-39891.6
0.6875,0.459167,-38484
0.6875,0.479583,-37202.1
0.6875,0.5,-36029.7
0.875,0.01,-868215
0.875,0.0304167,-306085
0.875,0.0508333,-189822
0.875,0.07125,-139418
0.875,0.0916667,-111213
0.875,0.112083,-93141.1
0.875,0.1325,-80625.3
0.875,0.152917,-71420
0.875,0.173333,-64332.8
0.875,0.19375,-58784.8
0.875,0.214167,-54255.6
0.875,0.234583,-50553.5
0.875,0.255,-47426
0.875,0.275417,-44793.1
0.875,0.295833,-42515.3
0.875,0.31625,-40614.3
0.875,0.336667,-38941
0.875,0.357083,-37504.2
0.875,0.3775,-36325.7
0.875,0.397917,-nan
0.875,0.418333,-nan
0.875,0.43875,-nan
0.875,0.459167,-nan
0.875,0.479583,-nan
0.875,0.5,-nan
1.0625,0.01,-629726
1.0625,0.0304167,-226023
1.0625,0.0508333,-143067
1.0625,0.07125,-107099
1.0625,0.0916667,-86944.7
1.0625,0.112083,-74076.1
1.0625,0.1325,-65116.6
1.0625,0.152917,-58623.5
1.0625,0.173333,-53654.4
1.0625,0.19375,-49790.3
1.0625,0.214167,-46731.9
1.0625,0.234583,-44347.3
1.0625,0.255,-42476.3
1.0625,0.275417,-41448
1.0625,0.295833,-nan
1.0625,0.31625,-nan
1.0625,0.336667,-nan
1.0625,0.357083,-nan
1.0625,0.3775,-nan
1.0625,0.397917,-nan
1.0625,0.418333,-nan
1.0625,0.43875,-nan
1.0625,0.459167,-nan
1.0625,0.479583,-nan
1.0625,0.5,-nan
1.25,0.01,-486933
1.25,0.0304167,-180979
1.25,0.0508333,-118173
1.25,0.07125,-90967.3
1.25,0.0916667,-75820.3
1.25,0.112083,-66350.9
1.25,0.1325,-59904.4
1.25,0.152917,-55553.5
1.25,0.173333,-52828.9
1.25,0.19375,-nan
1.25,0.214167,-nan
1.25,0.234583,-nan
1.25,0.255,-nan
1.25,0.275417,-nan
1.25,0.295833,-nan
1.25,0.31625,-nan
1.25,0.336667,-nan
1.25,0.357083,-nan
1.25,0.3775,-nan
1.25,0.397917,-nan
1.25,0.418333,-nan
1.25,0.43875,-nan
1.25,0.459167,-nan
1.25,0.479583,-nan
1.25,0.5,-nan
1.4375,0.01,-397568
1.4375,0.0304167,-155163
1.4375,0.0508333,-105084
1.4375,0.07125,-83349
1.4375,0.0916667,-71339
1.4375,0.112083,-64030.7
1.4375,0.1325,-59553
1.4375,0.152917,-57447.9
1.4375,0.173333,-nan
1.4375,0.19375,-nan
1.4375,0.214167,-nan
1.4375,0.234583,-nan
1.4375,0.255,-nan
1.4375,0.275417,-nan
1.4375,0.295833,-nan
1.4375,0.31625,-nan
1.4375,0.336667,-nan
1.4375,0.357083,-nan
1.4375,0.3775,-nan
1.4375,0.397917,-nan
1.4375,0.418333,-nan
1.4375,0.43875,-nan
1.4375,0.459167,-nan
1.4375,0.479583,-nan
1.4375,0.5,-nan
1.625,0.01,-341107
1.625,0.0304167,-142792
1.625,0.0508333,-101827
1.625,0.07125,-84425.1
1.625,0.0916667,-75669.1
1.625,0.112083,-71791.3
1.625,0.1325,-nan
1.625,0.152917,-nan
1.625,0.173333,-nan
1.625,0.19375,-nan
1.625,0.214167,-nan
1.625,0.234583,-nan
1.625,0.255,-nan
1.625,0.275417,-nan
1.625,0.295833,-nan
1.625,0.31625,-nan
1.625,0.336667,-nan
1.625,0.357083,-nan
1.625,0.3775,-nan
1.625,0.397917,-nan
1.625,0.418333,-nan
1.625,0.43875,-nan
1.625,0.459167,-nan
1.625,0.479583,-nan
1.625,0.5,-nan
1.8125,0.01,-304856
1.8125,0.0304167,-138686
1.8125,0.0508333,-104350
1.8125,0.07125,-90426.8
1.8125,0.0916667,-84700.8
1.8125,0.112083,-nan
1.8125,0.1325,-nan
1.8125,0.152917,-nan
1.8125,0.173333,-nan
1.8125,0.19375,-nan
1.8125,0.214167,-nan
1.8125,0.234583,-nan
1.8125,0.255,-nan
1.8125,0.275417,-nan
1.8125,0.295833,-nan
1.8125,0.31625,-nan
1.8125,0.336667,-nan
1.8125,0.357083,-nan
1.8125,0.3775,-nan
1.8125,0.397917,-nan
1.8125,0.418333,-nan
1.8125,0.43875,-nan
1.8125,0.459167,-nan
1.8125,0.479583,-nan
1.8125,0.5,-nan
2,0.01,-281712
2,0.0304167,-138338
2,0.0508333,-108533
2,0.07125,-97052.5
2,0.0916667,-93999.4
2,0.112083,-nan
2,0.1325,-nan
2,0.152917,-nan
2,0.173333,-nan
2,0.19375,-nan
2,0.214167,-nan
2,0.234583,-nan
2,0.255,-nan
2,0.275417,-nan
2,0.295833,-nan
2,0.31625,-nan
2,0.336667,-nan
2,0.357083,-nan
2,0.3775,-nan
2,0.397917,-nan
2,0.418333,-nan
2,0.43875,-nan
2,0.459167,-nan
2,0.479583,-nan
2,0.5,-nan
2.1875,0.01,-267722
2.1875,0.0304167,-142422
2.1875,0.0508333,-116576
2.1875,0.07125,-107888
2.1875,0.0916667,-109338
2.1875,0.112083,-nan
2.1875,0.1325,-nan
2.1875,0.152917,-nan
2.1875,0.173333,-nan
2.1875,0.19375,-nan
2.1875,0.214167,-nan
2.1875,0.234583,-nan
