length_scale,process_noise,lml
0.3,0.01,-4.81209e+06
0.3,0.0710204,-789375
0.3,0.132041,-433240
0.3,0.193061,-299953
0.3,0.254082,-230238
0.3,0.315102,-187400
0.3,0.376122,-158437
0.3,0.437143,-137552
0.3,0.498163,-121793
0.3,0.559184,-109484
0.3,0.620204,-99604.5
0.3,0.681224,-91519.5
0.3,0.742245,-84765.4
0.3,0.803265,-79042.7
0.3,0.864286,-74218.1
0.3,0.925306,-69896.1
0.3,0.986327,-66189.7
0.3,1.04735,-62920.1
0.3,1.10837,-60016
0.3,1.16939,-57421.3
0.3,1.23041,-55081.9
0.3,1.29143,-52971.9
0.3,1.35245,-51065.7
0.3,1.41347,-49312.5
0.3,1.47449,-47719.7
0.3,1.53551,-46264.1
0.3,1.59653,-44908.3
0.3,1.65755,-43659.4
0.3,1.71857,-42505.6
0.3,1.77959,-41436.9
0.3,1.84061,-40433.9
0.3,1.90163,-39501.9
0.3,1.96265,-38631.5
0.3,2.02367,-37809.1
0.3,2.08469,-37041.7
0.3,2.14571,-36314.9
0.3,2.20673,-35641.7
0.3,2.26776,-35002
0.3,2.32878,-34391.8
0.3,2.3898,-33818
0.3,2.45082,-33279.2
0.3,2.51184,-32762.5
0.3,2.57286,-32271.5
0.3,2.63388,-31808
0.3,2.6949,-31361
0.3,2.75592,-30939.8
0.3,2.81694,-30541.1
0.3,2.87796,-30150.6
0.3,2.93898,-29779.9
0.3,3,-29428.9
0.3,3.06102,-29090.3
0.3,3.12204,-28772.3
0.3,3.18306,-28469.4
0.3,3.24408,-28163.2
0.3,3.3051,-29984.9
0.3,3.36612,-27616.1
0.3,3.42714,-nan
0.3,3.48816,-nan
0.3,3.54918,-nan
0.3,3.6102,-nan
0.3,3.67122,-nan
0.3,3.73224,-nan
0.3,3.79327,-nan
0.3,3.85429,-nan
0.3,3.91531,-nan
0.3,3.97633,-nan
0.3,4.03735,-nan
0.3,4.09837,-nan
0.3,4.15939,-nan
0.3,4.22041,-nan
0.3,4.28143,-nan
0.3,4.34245,-nan
0.3,4.40347,-nan
0.3,4.46449,-nan
0.3,4.52551,-nan
0.3,4.58653,-nan
0.3,4.64755,-nan
0.3,4.70857,-nan
0.3,4.76959,-nan
0.3,4.83061,-nan
0.3,4.89163,-nan
0.3,4.95265,-nan
0.3,5.01367,-nan
0.3,5.07469,-nan
0.3,5.13571,-nan
0.3,5.19673,-nan
0.3,5.25776,-nan
0.3,5.31878,-nan
0.3,5.3798,-nan
0.3,5.44082,-nan
0.3,5.50184,-nan
0.3,5.56286,-nan
0.3,5.62388,-nan
0.3,5.6849,-nan
0.3,5.74592,-nan
0.3,5.80694,-nan
0.3,5.86796,-nan
0.3,5.92898,-nan
0.3,5.99,-nan
0.3,6.05102,-nan
0.355102,0.01,-3.86824e+06
0.355102,0.0710204,-623306
0.355102,0.132041,-342526
0.355102,0.193061,-237658
0.355102,0.254082,-182848
0.355102,0.315102,-149155
0.355102,0.376122,-126365
0.355102,0.437143,-109937
0.355102,0.498163,-97522
0.355102,0.559184,-87832.8
0.355102,0.620204,-80055.7
0.355102,0.681224,-73685.3
0.355102,0.742245,-68359.1
0.355102,0.803265,-63852
0.355102,0.864286,-59997.8
0.355102,0.925306,-56639
0.355102,0.986327,-53712.1
0.355102,1.04735,-51132
0.355102,1.10837,-48855.7
0.355102,1.16939,-46806.8
0.355102,1.23041,-44955.5
0.355102,1.29143,-43292.4
0.355102,1.35245,-41778.8
0.355102,1.41347,-40401
0.355102,1.47449,-39138.2
0.355102,1.53551,-37995.2
0.355102,1.59653,-36924.1
0.355102,1.65755,-35936.4
0.355102,1.71857,-35025.5
0.355102,1.77959,-34178.1
0.355102,1.84061,-33388.9
0.355102,1.90163,-32665.8
0.355102,1.96265,-31954.8
0.355102,2.02367,-31313.8
0.355102,2.08469,-nan
0.355102,2.14571,-nan
0.355102,2.20673,-nan
0.355102,2.26776,-nan
0.355102,2.32878,-nan
0.355102,2.3898,-nan
0.355102,2.45082,-nan
0.355102,2.51184,-nan
0.355102,2.57286,-nan
0.355102,2.63388,-nan
0.355102,2.6949,-nan
0.355102,2.75592,-nan
0.355102,2.81694,-nan
0.355102,2.87796,-nan
0.355102,2.93898,-nan
0.355102,3,-nan
0.355102,3.06102,-nan
0.355102,3.12204,-nan
0.355102,3.18306,-nan
0.355102,3.24408,-nan
0.355102,3.3051,-nan
0.355102,3.36612,-nan
0.355102,3.42714,-nan
0.355102,3.48816,-nan
0.355102,3.54918,-nan
0.355102,3.6102,-nan
0.355102,3.67122,-nan
0.355102,3.73224,-nan
0.355102,3.79327,-nan
0.355102,3.85429,-nan
0.355102,3.91531,-nan
0.355102,3.97633,-nan
0.355102,4.03735,-nan
0.355102,4.09837,-nan
0.355102,4.15939,-nan
0.355102,4.22041,-nan
0.355102,4.28143,-nan
0.355102,4.34245,-nan
0.355102,4.40347,-nan
0.355102,4.46449,-nan
0.355102,4.52551,-nan
0.355102,4.58653,-nan
0.355102,4.64755,-nan
0.355102,4.70857,-nan
0.355102,4.76959,-nan
0.355102,4.83061,-nan
0.355102,4.89163,-nan
0.355102,4.95265,-nan
0.355102,5.01367,-nan
0.355102,5.07469,-nan
0.355102,5.13571,-nan
0.355102,5.19673,-nan
0.355102,5.25776,-nan
0.355102,5.31878,-nan
0.355102,5.3798,-nan
0.355102,5.44082,-nan
0.355102,5.50184,-nan
0.355102,5.56286,-nan
0.355102,5.62388,-nan
0.355102,5.6849,-nan
0.355102,5.74592,-nan
0.355102,5.80694,-nan
0.355102,5.86796,-nan
0.355102,5.92898,-nan
0.355102,5.99,-nan
0.355102,6.05102,-nan
0.410204,0.01,-3.1569e+06
0.410204,0.0710204,-502168
0.410204,0.132041,-276623
0.410204,0.193061,-192587
0.410204,0.254082,-148679
0.410204,0.315102,-121725
0.410204,0.376122,-103487
0.410204,0.437143,-90318.6
0.410204,0.498163,-80397.6
0.410204,0.559184,-72630
0.410204,0.620204,-66401.4
0.410204,0.681224,-61301.3
0.410204,0.742245,-57014.4
0.410204,0.803265,-53397.7
0.410204,0.864286,-50289.6
0.410204,0.925306,-47600.5
0.410204,0.986327,-45250.4
0.410204,1.04735,-43182.2
0.410204,1.10837,-41338.6
0.410204,1.16939,-39741.3
0.410204,1.23041,-38219.4
0.410204,1.29143,-36874.2
0.410204,1.35245,-nan
0.410204,1.41347,-nan
0.410204,1.47449,-nan
0.410204,1.53551,-nan
0.410204,1.59653,-nan
0.410204,1.65755,-nan
0.410204,1.71857,-nan
0.410204,1.77959,-nan
0.410204,1.84061,-nan
0.410204,1.90163,-nan
0.410204,1.96265,-nan
0.410204,2.02367,-nan
0.410204,2.08469,-nan
0.410204,2.14571,-nan
0.410204,2.20673,-nan
0.410204,2.26776,-nan
0.410204,2.32878,-nan
0.410204,2.3898,-nan
0.410204,2.45082,-nan
0.410204,2.51184,-nan
0.410204,2.57286,-nan
0.410204,2.63388,-nan
0.410204,2.6949,-nan
0.410204,2.75592,-nan
0.410204,2.81694,-nan
0.410204,2.87796,-nan
0.410204,2.93898,-nan
0.410204,3,-nan
0.410204,3.06102,-nan
0.410204,3.12204,-nan
0.410204,3.18306,-nan
0.410204,3.24408,-nan
0.410204,3.3051,-nan
0.410204,3.36612,-nan
0.410204,3.42714,-nan
0.410204,3.48816,-nan
0.410204,3.54918,-nan
0.410204,3.6102,-nan
0.410204,3.67122,-nan
0.410204,3.73224,-nan
0.410204,3.79327,-nan
0.410204,3.85429,-nan
0.410204,3.91531,-nan
0.410204,3.97633,-nan
0.410204,4.03735,-nan
0.410204,4.09837,-nan
0.410204,4.15939,-nan
0.410204,4.22041,-nan
0.410204,4.28143,-nan
0.410204,4.34245,-nan
0.410204,4.40347,-nan
0.410204,4.46449,-nan
0.410204,4.52551,-nan
0.410204,4.58653,-nan
0.410204,4.64755,-nan
0.410204,4.70857,-nan
0.410204,4.76959,-nan
0.410204,4.83061,-nan
0.410204,4.89163,-nan
0.410204,4.95265,-nan
