length_scale,process_noise,lml
0.3,0.01,-2.11926e+06
0.3,0.0914286,-294144
0.3,0.172857,-160682
0.3,0.254286,-111774
0.3,0.335714,-86428.7
0.3,0.417143,-70934.1
0.3,0.498571,-60486.6
0.3,0.58,-52974.4
0.3,0.661429,-47322.2
0.3,0.742857,-42899
0.3,0.824286,-39371.5
0.3,0.905714,-36470.2
0.3,0.987143,-34051.8
0.3,1.06857,-32025.2
0.3,1.15,-30253.7
0.3,1.23143,-28723.4
0.3,1.31286,-27427.2
0.3,1.39429,-26228.3
0.3,1.47571,-25197.3
0.3,1.55714,-24270
0.3,1.63857,-23433.3
0.3,1.72,-22677
0.3,1.80143,-22007
0.3,1.88286,-21393.8
0.3,1.96429,-20821
0.3,2.04571,-20277.2
0.3,2.12714,-19794.2
0.3,2.20857,-19341.7
0.3,2.29,-18928.4
0.3,2.37143,-18575.4
0.3,2.45286,-18184.1
0.3,2.53429,-17866.2
0.3,2.61571,-17554.5
0.3,2.69714,-17241.5
0.3,2.77857,-16993.6
0.3,2.86,-16751.2
0.3,2.94143,-16470.1
0.3,3.02286,-16236.7
0.3,3.10429,-16026.1
0.3,3.18571,-15849.8
0.3,3.26714,-15635.3
0.3,3.34857,-15450
0.3,3.43,-15242.9
0.3,3.51143,-15099.2
0.3,3.59286,-14929.3
0.3,3.67429,-14787.2
0.3,3.75571,-14611.8
0.3,3.83714,-14500.3
0.3,3.91857,-14357.9
0.3,4,-14227.3
0.3,4.08143,-14126
0.3,4.16286,-13975.7
0.3,4.24429,-13854
0.3,4.32571,-13746.9
0.3,4.40714,-13640.7
0.3,4.48857,-13541.3
0.3,4.57,-13463.4
0.3,4.65143,-13422.3
0.3,4.73286,-13259.5
0.3,4.81429,-13204.7
0.3,4.89571,-13095.8
0.3,4.97714,-13077.9
0.3,5.05857,-12950
0.3,5.14,-12859.5
0.3,5.22143,-12784.8
0.3,5.30286,-13085.6
0.3,5.38429,-12936.8
0.3,5.46571,-13272.9
0.3,5.54714,-12508.2
0.3,5.62857,-12468.2
0.3,5.71,-12419.7
0.3,5.79143,-12457.1
0.3,5.87286,-12280.5
0.3,5.95429,-12267.4
0.3,6.03571,-12178.7
0.3,6.11714,-12161.9
0.3,6.19857,-12075.7
0.3,6.28,-12248.5
0.3,6.36143,-12012.3
0.3,6.44286,-11937
0.3,6.52429,-11883.6
0.3,6.60571,-nan
0.3,6.68714,-12376.2
0.3,6.76857,-12054.7
0.3,6.85,-12068.7
0.3,6.93143,-14060.1
0.3,7.01286,-11631.1
0.3,7.09429,-11605
0.3,7.17571,-11579.6
0.3,7.25714,-11583.5
0.3,7.33857,-12230
0.3,7.42,-11469.5
0.3,7.50143,-11471.6
0.3,7.58286,-nan
0.3,7.66429,-11392.4
0.3,7.74571,-nan
0.3,7.82714,-11330.5
0.3,7.90857,-11278.8
0.3,7.99,-11305.5
0.3,8.07143,-11224.2
0.355102,0.01,-1.89304e+06
0.355102,0.0914286,-259203
0.355102,0.172857,-141777
0.355102,0.254286,-98805.3
0.355102,0.335714,-76541
0.355102,0.417143,-62943.4
0.355102,0.498571,-53774.8
0.355102,0.58,-47185.4
0.355102,0.661429,-42228
0.355102,0.742857,-38356
0.355102,0.824286,-35258.5
0.355102,0.905714,-32723.7
0.355102,0.987143,-30607.7
0.355102,1.06857,-28824.4
0.355102,1.15,-27275.5
0.355102,1.23143,-25941.6
0.355102,1.31286,-24811.7
0.355102,1.39429,-23759.2
0.355102,1.47571,-22858.4
0.355102,1.55714,-22048.5
0.355102,1.63857,-21317
0.355102,1.72,-20655.9
0.355102,1.80143,-20068.2
0.355102,1.88286,-19541.5
0.355102,1.96429,-19037
0.355102,2.04571,-18564
0.355102,2.12714,-18143
0.355102,2.20857,-17741.1
0.355102,2.29,-17388.6
0.355102,2.37143,-17084.3
0.355102,2.45286,-16735.4
0.355102,2.53429,-16464.3
0.355102,2.61571,-16192.7
0.355102,2.69714,-15918.4
0.355102,2.77857,-15705.7
0.355102,2.86,-15494.3
0.355102,2.94143,-15248.2
0.355102,3.02286,-15045.6
0.355102,3.10429,-14863.2
0.355102,3.18571,-14713.6
0.355102,3.26714,-14521.3
0.355102,3.34857,-14370.5
0.355102,3.43,-14184.2
0.355102,3.51143,-14062.5
0.355102,3.59286,-13918.1
0.355102,3.67429,-13796
0.355102,3.75571,-13639.9
0.355102,3.83714,-13543.3
0.355102,3.91857,-13411.9
0.355102,4,-13306
0.355102,4.08143,-13217.2
0.355102,4.16286,-13086.3
0.355102,4.24429,-12973.4
0.355102,4.32571,-12884.4
0.355102,4.40714,-12795
0.355102,4.48857,-12713.2
0.355102,4.57,-12647.4
0.355102,4.65143,-12619.7
0.355102,4.73286,-12476
0.355102,4.81429,-12429.4
0.355102,4.89571,-12325.2
0.355102,4.97714,-12321.4
0.355102,5.05857,-12204.2
0.355102,5.14,-12117.3
0.355102,5.22143,-12052.5
0.355102,5.30286,-12355.1
0.355102,5.38429,-12221.9
0.355102,5.46571,-12544.7
0.355102,5.54714,-11830.6
0.355102,5.62857,-11778.6
0.355102,5.71,-11748.1
0.355102,5.79143,-11792.7
0.355102,5.87286,-11635.9
0.355102,5.95429,-11620.3
0.355102,6.03571,-11531.7
0.355102,6.11714,-11535.6
0.355102,6.19857,-11460.2
0.355102,6.28,-11628.3
0.355102,6.36143,-11406.8
0.355102,6.44286,-11338.2
0.355102,6.52429,-11294.4
0.355102,6.60571,-nan
0.355102,6.68714,-11757.5
0.355102,6.76857,-11473.7
0.355102,6.85,-11490
0.355102,6.93143,-13314.3
0.355102,7.01286,-11077.2
0.355102,7.09429,-11050
0.355102,7.17571,-11037.5
0.355102,7.25714,-11041.3
