length_scale,process_noise,lml
0.5,0.01,-2.3341e+06
0.5,0.0710204,-366964
0.5,0.132041,-203297
0.5,0.193061,-142406
0.5,0.254082,-110627
0.5,0.315102,-91108.2
0.5,0.376122,-77903.1
0.5,0.437143,-68374.9
0.5,0.498163,-61180.7
0.5,0.559184,-55546.2
0.5,0.620204,-51061.4
0.5,0.681224,-47353.1
0.5,0.742245,-44260.2
0.5,0.803265,-41646.9
0.5,0.864286,-39425.1
0.5,0.925306,-nan
0.5,0.986327,-nan
0.5,1.04735,-nan
0.5,1.10837,-nan
0.5,1.16939,-nan
0.5,1.23041,-nan
0.5,1.29143,-nan
0.5,1.35245,-nan
0.5,1.41347,-nan
0.5,1.47449,-nan
0.5,1.53551,-nan
0.5,1.59653,-nan
0.5,1.65755,-nan
0.5,1.71857,-nan
0.5,1.77959,-nan
0.5,1.84061,-nan
0.5,1.90163,-nan
0.5,1.96265,-nan
0.5,2.02367,-nan
0.5,2.08469,-nan
0.5,2.14571,-nan
0.5,2.20673,-nan
0.5,2.26776,-nan
0.5,2.32878,-nan
0.5,2.3898,-nan
0.5,2.45082,-nan
0.5,2.51184,-nan
0.5,2.57286,-nan
0.5,2.63388,-nan
0.5,2.6949,-nan
0.5,2.75592,-nan
0.5,2.81694,-nan
0.5,2.87796,-nan
0.5,2.93898,-nan
0.5,3,-nan
0.5,3.06102,-nan
0.5,3.12204,-nan
0.5,3.18306,-nan
0.5,3.24408,-nan
0.5,3.3051,-nan
0.5,3.36612,-nan
0.5,3.42714,-nan
0.5,3.48816,-nan
0.5,3.54918,-nan
0.5,3.6102,-nan
0.5,3.67122,-nan
0.5,3.73224,-nan
0.5,3.79327,-nan
0.5,3.85429,-nan
0.5,3.91531,-nan
0.5,3.97633,-nan
0.5,4.03735,-nan
0.5,4.09837,-nan
0.5,4.15939,-nan
0.5,4.22041,-nan
0.5,4.28143,-nan
0.5,4.34245,-nan
0.5,4.40347,-nan
0.5,4.46449,-nan
0.5,4.52551,-nan
0.5,4.58653,-nan
0.5,4.64755,-nan
0.5,4.70857,-nan
0.5,4.76959,-nan
0.5,4.83061,-nan
0.5,4.89163,-nan
0.5,4.95265,-nan
0.5,5.01367,-nan
0.5,5.07469,-nan
0.5,5.13571,-nan
0.5,5.19673,-nan
0.5,5.25776,-nan
0.5,5.31878,-nan
0.5,5.3798,-nan
0.5,5.44082,-nan
0.5,5.50184,-nan
0.5,5.56286,-nan
0.5,5.62388,-nan
0.5,5.6849,-nan
0.5,5.74592,-nan
0.5,5.80694,-nan
0.5,5.86796,-nan
0.5,5.92898,-nan
0.5,5.99,-nan
0.5,6.05102,-nan
0.55102,0.01,-1.99502e+06
0.55102,0.0710204,-313301
0.55102,0.132041,-174621
0.55102,0.193061,-123005
0.55102,0.254082,-96062.7
0.55102,0.315102,-79523.6
0.55102,0.376122,-68349
0.55102,0.437143,-60296.8
0.55102,0.498163,-54215.6
0.55102,0.559184,-49492.3
0.55102,0.620204,-45681.5
0.55102,0.681224,-42599.7
0.55102,0.742245,-40040
0.55102,0.803265,-nan
0.55102,0.864286,-nan
0.55102,0.925306,-nan
0.55102,0.986327,-nan
0.55102,1.04735,-nan
0.55102,1.10837,-nan
0.55102,1.16939,-nan
0.55102,1.23041,-nan
0.55102,1.29143,-nan
0.55102,1.35245,-nan
0.55102,1.41347,-nan
0.55102,1.47449,-nan
0.55102,1.53551,-nan
0.55102,1.59653,-nan
0.55102,1.65755,-nan
0.55102,1.71857,-nan
0.55102,1.77959,-nan
0.55102,1.84061,-nan
0.55102,1.90163,-nan
0.55102,1.96265,-nan
0.55102,2.02367,-nan
0.55102,2.08469,-nan
0.55102,2.14571,-nan
0.55102,2.20673,-nan
0.55102,2.26776,-nan
0.55102,2.32878,-nan
0.55102,2.3898,-nan
0.55102,2.45082,-nan
0.55102,2.51184,-nan
0.55102,2.57286,-nan
0.55102,2.63388,-nan
0.55102,2.6949,-nan
0.55102,2.75592,-nan
0.55102,2.81694,-nan
0.55102,2.87796,-nan
0.55102,2.93898,-nan
0.55102,3,-nan
0.55102,3.06102,-nan
0.55102,3.12204,-nan
0.55102,3.18306,-nan
0.55102,3.24408,-nan
0.55102,3.3051,-nan
0.55102,3.36612,-nan
0.55102,3.42714,-nan
0.55102,3.48816,-nan
0.55102,3.54918,-nan
0.55102,3.6102,-nan
0.55102,3.67122,-nan
0.55102,3.73224,-nan
0.55102,3.79327,-nan
0.55102,3.85429,-nan
0.55102,3.91531,-nan
0.55102,3.97633,-nan
0.55102,4.03735,-nan
0.55102,4.09837,-nan
0.55102,4.15939,-nan
0.55102,4.22041,-nan
0.55102,4.28143,-nan
0.55102,4.34245,-nan
0.55102,4.40347,-nan
0.55102,4.46449,-nan
0.55102,4.52551,-nan
0.55102,4.58653,-nan
0.55102,4.64755,-nan
0.55102,4.70857,-nan
0.55102,4.76959,-nan
0.55102,4.83061,-nan
0.55102,4.89163,-nan
0.55102,4.95265,-nan
0.55102,5.01367,-nan
0.55102,5.07469,-nan
0.55102,5.13571,-nan
0.55102,5.19673,-nan
0.55102,5.25776,-nan
0.55102,5.31878,-nan
0.55102,5.3798,-nan
0.55102,5.44082,-nan
0.55102,5.50184,-nan
0.55102,5.56286,-nan
0.55102,5.62388,-nan
0.55102,5.6849,-nan
0.55102,5.74592,-nan
0.55102,5.80694,-nan
0.55102,5.86796,-nan
0.55102,5.92898,-nan
0.55102,5.99,-nan
0.55102,6.05102,-nan
0.602041,0.01,-1.72257e+06
0.602041,0.0710204,-271195
0.602041,0.132041,-152381
0.602041,0.193061,-108155
0.602041,0.254082,-85075
0.602041,0.315102,-70922.6
0.602041,0.376122,-61311.2
0.602041,0.437143,-54335.5
0.602041,0.498163,-49102.8
0.602041,0.559184,-45092.6
0.602041,0.620204,-41846.7
0.602041,0.681224,-nan
0.602041,0.742245,-nan
0.602041,0.803265,-nan
0.602041,0.864286,-nan
0.602041,0.925306,-nan
0.602041,0.986327,-nan
0.602041,1.04735,-nan
0.602041,1.10837,-nan
0.602041,1.16939,-nan
0.602041,1.23041,-nan
0.602041,1.29143,-nan
0.602041,1.35245,-nan
0.602041,1.41347,-nan
0.602041,1.47449,-nan
0.602041,1.53551,-nan
0.602041,1.59653,-nan
0.602041,1.65755,-nan
0.602041,1.71857,-nan
0.602041,1.77959,-nan
0.602041,1.84061,-nan
0.602041,1.90163,-nan
0.602041,1.96265,-nan
0.602041,2.02367,-nan
0.602041,2.08469,-nan
0.602041,2.14571,-nan
0.602041,2.20673,-nan
0.602041,2.26776,-nan
0.602041,2.32878,-nan
0.602041,2.3898,-nan
0.602041,2.45082,-nan
0.602041,2.51184,-nan
0.602041,2.57286,-nan
0.602041,2.63388,-nan
0.602041,2.6949,-nan
0.602041,2.75592,-nan
0.602041,2.81694,-nan
0.602041,2.87796,-nan
0.602041,2.93898,-nan
0.602041,3,-nan
0.602041,3.06102,-nan
0.602041,3.12204,-nan
0.602041,3.18306,-nan
0.602041,3.24408,-nan
0.602041,3.3051,-nan
0.602041,3.36612,-nan
0.602041,3.42714,-nan
0.602041,3.48816,-nan
0.602041,3.54918,-nan
0.602041,3.6102,-nan
0.602041,3.67122,-nan
0.602041,3.73224,-nan
0.602041,3.79327,-nan
0.602041,3.85429,-nan
0.602041,3.91531,-nan
0.602041,3.97633,-nan
0.602041,4.03735,-nan
0.602041,4.09837,-nan
0.602041,4.15939,-nan
0.602041,4.22041,-nan
0.602041,4.28143,-nan
0.602041,4.34245,-nan
0.602041,4.40347,-nan
0.602041,4.46449,-nan
0.602041,4.52551,-nan
0.602041,4.58653,-nan
0.602041,4.64755,-nan
0.602041,4.70857,-nan
0.602041,4.76959,-nan
0.602041,4.83061,-nan
0.602041,4.89163,-nan
0.602041,4.95265,-nan
0.602041,5.01367,-nan
0.602041,5.07469,-nan
0.602041,5.13571,-nan
0.602041,5.19673,-nan
0.602041,5.25776,-nan
0.602041,5.31878,-nan
0.602041,5.3798,-nan
0.602041,5.44082,-nan
0.602041,5.50184,-nan
0.602041,5.56286,-nan
0.602041,5.62388,-nan
0.602041,5.6849,-nan
0.602041,5.74592,-nan
0.602041,5.80694,-nan
0.602041,5.86796,-nan
0.602041,5.92898,-nan
0.602041,5.99,-nan
0.602041,6.05102,-nan
0.653061,0.01,-1.50193e+06
0.653061,0.0710204,-237947
0.653061,0.132041,-134998
0.653061,0.193061,-96736.7
0.653061,0.254082,-76706.5
0.653061,0.315102,-64418
0.653061,0.376122,-56137.2
0.653061,0.437143,-50151.2
0.653061,0.498163,-45734.8
0.653061,0.559184,-42538.6
0.653061,0.620204,-nan
0.653061,0.681224,-nan
0.653061,0.742245,-nan
0.653061,0.803265,-nan
0.653061,0.864286,-nan
0.653061,0.925306,-nan
0.653061,0.986327,-nan
0.653061,1.04735,-nan
0.653061,1.10837,-nan
0.653061,1.16939,-nan
0.653061,1.23041,-nan
0.653061,1.29143,-nan
0.653061,1.35245,-nan
0.653061,1.41347,-nan
0.653061,1.47449,-nan
0.653061,1.53551,-nan
0.653061,1.59653,-nan
0.653061,1.65755,-nan
0.653061,1.71857,-nan
0.653061,1.77959,-nan
0.653061,1.84061,-nan
0.653061,1.90163,-nan
0.653061,1.96265,-nan
0.653061,2.02367,-nan
0.653061,2.08469,-nan
0.653061,2.14571,-nan
0.653061,2.20673,-nan
0.653061,2.26776,-nan
0.653061,2.32878,-nan
0.653061,2.3898,-nan
0.653061,2.45082,-nan
0.653061,2.51184,-nan
0.653061,2.57286,-nan
0.653061,2.63388,-nan
0.653061,2.6949,-nan
0.653061,2.75592,-nan
0.653061,2.81694,-nan
0.653061,2.87796,-nan
0.653061,2.93898,-nan
0.653061,3,-nan
0.653061,3.06102,-nan
0.653061,3.12204,-nan
0.653061,3.18306,-nan
0.653061,3.24408,-nan
0.653061,3.3051,-nan
0.653061,3.36612,-nan
0.653061,3.42714,-nan
0.653061,3.48816,-nan
0.653061,3.54918,-nan
0.653061,3.6102,-nan
0.653061,3.67122,-nan
0.653061,3.73224,-nan
0.653061,3.79327,-nan
0.653061,3.85429,-nan
0.653061,3.91531,-nan
0.653061,3.97633,-nan
0.653061,4.03735,-nan
0.653061,4.09837,-nan
0.653061,4.15939,-nan
0.653061,4.22041,-nan
0.653061,4.28143,-nan
0.653061,4.34245,-nan
0.653061,4.40347,-nan
0.653061,4.46449,-nan
0.653061,4.52551,-nan
0.653061,4.58653,-nan
0.653061,4.64755,-nan
0.653061,4.70857,-nan
0.653061,4.76959,-nan
0.653061,4.83061,-nan
0.653061,4.89163,-nan
0.653061,4.95265,-nan
0.653061,5.01367,-nan
0.653061,5.07469,-nan
0.653061,5.13571,-nan
0.653061,5.19673,-nan
0.653061,5.25776,-nan
0.653061,5.31878,-nan
0.653061,5.3798,-nan
0.653061,5.44082,-nan
0.653061,5.50184,-nan
0.653061,5.56286,-nan
0.653061,5.62388,-nan
0.653061,5.6849,-nan
0.653061,5.74592,-nan
0.653061,5.80694,-nan
0.653061,5.86796,-nan
0.653061,5.92898,-nan
0.653061,5.99,-nan
0.653061,6.05102,-nan
0.704082,0.01,-1.32188e+06
0.704082,0.0710204,-211463
0.704082,0.132041,-121460
0.704082,0.193061,-87908.5
0.704082,0.254082,-70367.9
0.704082,0.315102,-59650.1
0.704082,0.376122,-52500.8
0.704082,0.437143,-47307
0.704082,0.498163,-43762.1
0.704082,0.559184,-nan
0.704082,0.620204,-nan
0.704082,0.681224,-nan
0.704082,0.742245,-nan
0.704082,0.803265,-nan
0.704082,0.864286,-nan
0.704082,0.925306,-nan
0.704082,0.986327,-nan
0.704082,1.04735,-nan
0.704082,1.10837,-nan
0.704082,1.16939,-nan
0.704082,1.23041,-nan
0.704082,1.29143,-nan
0.704082,1.35245,-nan
0.704082,1.41347,-nan
0.704082,1.47449,-nan
0.704082,1.53551,-nan
0.704082,1.59653,-nan
0.704082,1.65755,-nan
0.704082,1.71857,-nan
0.704082,1.77959,-nan
0.704082,1.84061,-nan
0.704082,1.90163,-nan
0.704082,1.96265,-nan
0.704082,2.02367,-nan
0.704082,2.08469,-nan
0.704082,2.14571,-nan
0.704082,2.20673,-nan
