length_scale,process_noise,lml
0.5,0.01,-2.32409e+06
0.5,0.0304167,-815269
0.5,0.0508333,-495871
0.5,0.07125,-356796
0.5,0.0916667,-278928
0.5,0.112083,-229152
0.5,0.1325,-194596
0.5,0.152917,-169206
0.5,0.173333,-149773
0.5,0.19375,-134407
0.5,0.214167,-121968
0.5,0.234583,-111695
0.5,0.255,-103068
0.5,0.275417,-95714.8
0.5,0.295833,-89378.4
0.5,0.31625,-83896.4
0.5,0.336667,-79014.7
0.5,0.357083,-74726.3
0.5,0.3775,-70911.9
0.5,0.397917,-67485.2
0.5,0.418333,-64396.5
0.5,0.43875,-61597
0.5,0.459167,-59037.9
0.5,0.479583,-56704.6
0.5,0.5,-54570.3
0.6875,0.01,-1.36391e+06
0.6875,0.0304167,-475417
0.6875,0.0508333,-291198
0.6875,0.07125,-211257
0.6875,0.0916667,-166495
0.6875,0.112083,-137880
0.6875,0.1325,-117991
0.6875,0.152917,-103356
0.6875,0.173333,-92131.2
0.6875,0.19375,-83270
0.6875,0.214167,-76101.5
0.6875,0.234583,-70153.8
0.6875,0.255,-65186.8
0.6875,0.275417,-60929
0.6875,0.295833,-57282.4
0.6875,0.31625,-54199.2
0.6875,0.336667,-51348.7
0.6875,0.357083,-48910.3
0.6875,0.3775,-46752.5
0.6875,0.397917,-44843.5
0.6875,0.418333,-43159.4
0.6875,0.43875,-41689.2
0.6875,0.459167,-nan
0.6875,0.479583,-nan
0.6875,0.5,-nan
0.875,0.01,-905106
0.875,0.0304167,-322362
0.875,0.0508333,-202530
0.875,0.07125,-150505
0.875,0.0916667,-121298
0.875,0.112083,-102616
0.875,0.1325,-89591.5
0.875,0.152917,-80007.5
0.875,0.173333,-72708
0.875,0.19375,-66940.6
0.875,0.214167,-62349.7
0.875,0.234583,-58661.4
0.875,0.255,-55664.9
0.875,0.275417,-53276.3
0.875,0.295833,-51681.4
0.875,0.31625,-51453.7
0.875,0.336667,-nan
0.875,0.357083,-nan
0.875,0.3775,-nan
0.875,0.397917,-nan
0.875,0.418333,-nan
0.875,0.43875,-nan
0.875,0.459167,-nan
0.875,0.479583,-nan
0.875,0.5,-nan
1.0625,0.01,-658680
1.0625,0.0304167,-244584
1.0625,0.0508333,-159569
1.0625,0.07125,-122498
1.0625,0.0916667,-101697
1.0625,0.112083,-88422.1
1.0625,0.1325,-79318.4
1.0625,0.152917,-72776.4
1.0625,0.173333,-68034
1.0625,0.19375,-64806.4
1.0625,0.214167,-62908.8
1.0625,0.234583,-66067.7
1.0625,0.255,-nan
1.0625,0.275417,-nan
1.0625,0.295833,-nan
1.0625,0.31625,-nan
1.0625,0.336667,-nan
1.0625,0.357083,-nan
1.0625,0.3775,-nan
1.0625,0.397917,-nan
1.0625,0.418333,-nan
