length_scale,process_noise,lml
0.3,0.01,-1.44093e+06
0.3,0.0710204,-255635
0.3,0.132041,-142976
0.3,0.193061,-100533
0.3,0.254082,-78195.2
0.3,0.315102,-64398.4
0.3,0.376122,-55100.5
0.3,0.437143,-48867.4
0.3,0.498163,-44087.4
0.3,0.559184,-39741.6
0.3,0.620204,-37058.9
0.3,0.681224,-33493.4
0.3,0.742245,-32319.9
0.3,0.803265,-30004.2
0.3,0.864286,-29214.8
0.3,0.925306,-27391.8
0.3,0.986327,-26094.5
0.3,1.04735,-24857.7
0.3,1.10837,-23417.1
0.3,1.16939,-21826.7
0.3,1.23041,-22117.9
0.3,1.29143,-21997.2
0.3,1.35245,-20510.8
0.3,1.41347,-22056.9
0.3,1.47449,-21260.5
0.3,1.53551,-18499.6
0.3,1.59653,-18037.2
0.3,1.65755,-19828.8
0.3,1.71857,-18891.7
0.3,1.77959,-16335.7
0.3,1.84061,-19107.5
0.3,1.90163,-20798.4
0.3,1.96265,-16314.2
0.3,2.02367,-15571.4
0.3,2.08469,-15872
0.3,2.14571,-20864
0.3,2.20673,-17326.8
0.3,2.26776,-18387
0.3,2.32878,-14243.2
0.3,2.3898,-18410.8
0.3,2.45082,-16773.4
0.3,2.51184,-19465.9
0.3,2.57286,-13705.2
0.3,2.63388,-19754.3
0.3,2.6949,-16341.7
0.3,2.75592,-17242
0.3,2.81694,-12606.6
0.3,2.87796,-14130.2
0.3,2.93898,-12644.2
0.3,3,-12193.7
0.3,3.06102,-12150.3
0.3,3.12204,-12625.5
0.3,3.18306,-15340.9
0.3,3.24408,-12248
0.3,3.3051,-35721.1
0.3,3.36612,-20116.9
0.3,3.42714,-23035.8
0.3,3.48816,-11421.4
0.3,3.54918,-12447.4
0.3,3.6102,-24063.1
0.3,3.67122,-12858.9
0.3,3.73224,-11553.9
0.3,3.79327,-11140.9
0.3,3.85429,-11103.1
0.3,3.91531,-11469.9
0.3,3.97633,-13014.8
0.3,4.03735,-10440.8
0.3,4.09837,-11985.8
0.3,4.15939,-nan
0.3,4.22041,-10021.8
0.3,4.28143,-13646.2
0.3,4.34245,-9668.32
0.3,4.40347,-13556.4
0.3,4.46449,-9771.29
0.3,4.52551,-nan
0.3,4.58653,-11267.7
0.3,4.64755,-9693.32
0.3,4.70857,-nan
0.3,4.76959,-nan
0.3,4.83061,-18284.8
0.3,4.89163,-12880.9
0.3,4.95265,-11816.2
0.3,5.01367,-11759.4
0.3,5.07469,-12717.6
0.3,5.13571,-17740.6
0.3,5.19673,-nan
0.3,5.25776,-nan
0.3,5.31878,-9053.11
0.3,5.3798,-9967.71
0.3,5.44082,-21773.2
0.3,5.50184,-nan
0.3,5.56286,-9590.6
0.3,5.62388,-nan
0.3,5.6849,-8874.66
0.3,5.74592,-15887.4
0.3,5.80694,-8717.93
0.3,5.86796,-20548
0.3,5.92898,-8899.94
0.3,5.99,-nan
0.3,6.05102,-10159
0.355102,0.01,-1.36046e+06
0.355102,0.0710204,-239769
0.355102,0.132041,-134196
0.355102,0.193061,-94465.3
0.355102,0.254082,-73549.6
0.355102,0.315102,-60633.1
0.355102,0.376122,-51940.9
0.355102,0.437143,-46146.1
0.355102,0.498163,-41697.5
0.355102,0.559184,-37610.5
0.355102,0.620204,-35154.5
0.355102,0.681224,-31731
0.355102,0.742245,-30725.2
0.355102,0.803265,-28523
0.355102,0.864286,-27829.9
0.355102,0.925306,-26111.1
0.355102,0.986327,-24892.4
0.355102,1.04735,-23724.5
0.355102,1.10837,-22335.9
0.355102,1.16939,-20799
0.355102,1.23041,-21151.5
0.355102,1.29143,-21081.6
0.355102,1.35245,-19627.1
0.355102,1.41347,-21232.8
0.355102,1.47449,-20470.3
0.355102,1.53551,-17710.7
0.355102,1.59653,-17290.8
0.355102,1.65755,-19133.9
0.355102,1.71857,-18222.5
0.355102,1.77959,-15663.7
0.355102,1.84061,-18493.6
0.355102,1.90163,-20239.3
0.355102,1.96265,-15713.8
0.355102,2.02367,-14984.6
0.355102,2.08469,-15310.7
0.355102,2.14571,-20394.5
0.355102,2.20673,-16819.4
0.355102,2.26776,-17903.3
0.355102,2.32878,-13730.1
0.355102,2.3898,-17962.7
0.355102,2.45082,-16318.8
0.355102,2.51184,-19068.3
0.355102,2.57286,-13249.7
0.355102,2.63388,-19440.2
0.355102,2.6949,-15955.7
0.355102,2.75592,-16868.3
0.355102,2.81694,-12181.6
0.355102,2.87796,-13730.8
0.355102,2.93898,-12237.8
0.355102,3,-11797.5
0.355102,3.06102,-11765.6
0.355102,3.12204,-12255.8
0.355102,3.18306,-15021.8
0.355102,3.24408,-11893.2
0.355102,3.3051,-36191.4
0.355102,3.36612,-19931.6
0.355102,3.42714,-22948.1
0.355102,3.48816,-11082.1
0.355102,3.54918,-12132.6
0.355102,3.6102,-24027.3
0.355102,3.67122,-12574.4
0.355102,3.73224,-11254.1
0.355102,3.79327,-10840
0.355102,3.85429,-10802.9
0.355102,3.91531,-11180.1
0.355102,3.97633,-12750.9
0.355102,4.03735,-10150.5
0.355102,4.09837,-11720.6
0.355102,4.15939,-nan
0.355102,4.22041,-9739.11
0.355102,4.28143,-13431.1
0.355102,4.34245,-9391.34
0.355102,4.40347,-13359.9
0.355102,4.46449,-9502.42
0.355102,4.52551,-nan
0.355102,4.58653,-11028.5
0.355102,4.64755,-9435.83
0.355102,4.70857,-nan
0.355102,4.76959,-nan
0.355102,4.83061,-18298.1
0.355102,4.89163,-12701.7
0.355102,4.95265,-11617.1
0.355102,5.01367,-11570.7
0.355102,5.07469,-12547.8
0.355102,5.13571,-17755.8
0.355102,5.19673,-nan
0.355102,5.25776,-nan
0.355102,5.31878,-8829.06
0.355102,5.3798,-9759.08
0.355102,5.44082,-21856.9
0.355102,5.50184,-nan
0.355102,5.56286,-9392.03
0.355102,5.62388,-nan
0.355102,5.6849,-8663.96
0.355102,5.74592,-15865.6
0.355102,5.80694,-8515.19
0.355102,5.86796,-20710.3
0.355102,5.92898,-8700.92
0.355102,5.99,-nan
0.355102,6.05102,-10007.5
0.410204,0.01,-1.2695e+06
0.410204,0.0710204,-222166
0.410204,0.132041,-124470
0.410204,0.193061,-87739.5
0.410204,0.254082,-68406.4
0.410204,0.315102,-56468.9
0.410204,0.376122,-48441.7
0.410204,0.437143,-43146.6
0.410204,0.498163,-39059.9
0.410204,0.559184,-35256.4
0.410204,0.620204,-33023.2
0.410204,0.681224,-29792.4
0.410204,0.742245,-28943.7
0.410204,0.803265,-26878.2
0.410204,0.864286,-26318.6
0.410204,0.925306,-24674.2
0.410204,0.986327,-23539.8
0.410204,1.04735,-22450
0.410204,1.10837,-21140.8
0.410204,1.16939,-19657.2
0.410204,1.23041,-20075.6
0.410204,1.29143,-20059.1
0.410204,1.35245,-18641
0.410204,1.41347,-20312.5
0.410204,1.47449,-19587.2
0.410204,1.53551,-16843
0.410204,1.59653,-16456.3
0.410204,1.65755,-18342.9
0.410204,1.71857,-17455.5
0.410204,1.77959,-14902.5
0.410204,1.84061,-17789.3
0.410204,1.90163,-19568.9
0.410204,1.96265,-15033.7
0.410204,2.02367,-14320.3
0.410204,2.08469,-14679.2
0.410204,2.14571,-19846.3
0.410204,2.20673,-16240.1
0.410204,2.26776,-17358.3
0.410204,2.32878,-13153.8
0.410204,2.3898,-17423.1
0.410204,2.45082,-15790.9
0.410204,2.51184,-18570.6
0.410204,2.57286,-12730.1
0.410204,2.63388,-18960.4
0.410204,2.6949,-15466.4
0.410204,2.75592,-16422.2
0.410204,2.81694,-11703.3
0.410204,2.87796,-13278.8
0.410204,2.93898,-11784.3
0.410204,3,-11353.7
0.410204,3.06102,-11330.4
0.410204,3.12204,-11833.3
0.410204,3.18306,-14618.8
0.410204,3.24408,-11478.3
0.410204,3.3051,-36281
0.410204,3.36612,-19615.7
0.410204,3.42714,-22695.2
0.410204,3.48816,-10693.3
0.410204,3.54918,-11758.8
0.410204,3.6102,-23825.5
0.410204,3.67122,-12219.8
0.410204,3.73224,-10897
0.410204,3.79327,-10488.6
0.410204,3.85429,-10458.3
0.410204,3.91531,-10844.4
0.410204,3.97633,-12434.9
0.410204,4.03735,-9812.33
0.410204,4.09837,-11404.7
0.410204,4.15939,-nan
0.410204,4.22041,-9413.99
0.410204,4.28143,-13142.5
0.410204,4.34245,-9072.6
0.410204,4.40347,-13097.7
0.410204,4.46449,-9198.12
0.410204,4.52551,-nan
0.410204,4.58653,-10756.2
0.410204,4.64755,-9143.73
0.410204,4.70857,-nan
0.410204,4.76959,-nan
0.410204,4.83061,-18092
0.410204,4.89163,-12458.7
0.410204,4.95265,-11367.7
0.410204,5.01367,-11328.2
0.410204,5.07469,-12319
0.410204,5.13571,-17599.9
0.410204,5.19673,-nan
0.410204,5.25776,-nan
0.410204,5.31878,-8572.4
0.410204,5.3798,-9518.82
0.410204,5.44082,-21835.3
0.410204,5.50184,-nan
0.410204,5.56286,-9150.41
0.410204,5.62388,-nan
0.410204,5.6849,-8427.73
0.410204,5.74592,-15751.6
0.410204,5.80694,-8273.9
0.410204,5.86796,-20721.7
0.410204,5.92898,-8470.08
0.410204,5.99,-nan
0.410204,6.05102,-9799.29
0.465306,0.01,-1.17339e+06
0.465306,0.0710204,-203945
0.465306,0.132041,-114410
0.465306,0.193061,-80796.4
0.465306,0.254082,-63093
0.465306,0.315102,-52169.3
0.465306,0.376122,-44828.8
0.465306,0.437143,-40034.2
0.465306,0.498163,-36331.1
0.465306,0.559184,-32812.4
0.465306,0.620204,-30823.2
0.465306,0.681224,-27781.8
0.465306,0.742245,-27113.4
0.465306,0.803265,-25170.7
0.465306,0.864286,-24725.3
0.465306,0.925306,-23190.8
0.465306,0.986327,-22157.6
0.465306,1.04735,-21143.6
0.465306,1.10837,-19890.9
0.465306,1.16939,-18467.3
0.465306,1.23041,-18951.7
0.465306,1.29143,-18990.7
0.465306,1.35245,-17616.9
0.465306,1.41347,-19327.7
0.465306,1.47449,-18650
0.465306,1.53551,-15933.9
0.465306,1.59653,-15579.4
0.465306,1.65755,-17522.5
0.465306,1.71857,-16664.1
0.465306,1.77959,-14118.6
0.465306,1.84061,-17048.3
0.465306,1.90163,-18839.1
0.465306,1.96265,-14329.3
0.465306,2.02367,-13632.7
0.465306,2.08469,-14002.6
0.465306,2.14571,-19191.7
0.465306,2.20673,-15623.2
0.465306,2.26776,-16742.1
0.465306,2.32878,-12550.2
0.465306,2.3898,-16869.1
0.465306,2.45082,-15236.2
0.465306,2.51184,-18047.4
0.465306,2.57286,-12182.8
0.465306,2.63388,-18463.3
0.465306,2.6949,-14960.7
0.465306,2.75592,-15930.6
0.465306,2.81694,-11199.8
0.465306,2.87796,-12794.2
0.465306,2.93898,-11303.1
0.465306,3,-10876.3
0.465306,3.06102,-10863.2
0.465306,3.12204,-11378.7
0.465306,3.18306,-14202.9
0.465306,3.24408,-11047.7
0.465306,3.3051,-36416.9
0.465306,3.36612,-19307.4
0.465306,3.42714,-22441.6
0.465306,3.48816,-10293.2
0.465306,3.54918,-11359.2
0.465306,3.6102,-23499.3
0.465306,3.67122,-11840.7
0.465306,3.73224,-10512.8
0.465306,3.79327,-10107.4
0.465306,3.85429,-10083.8
0.465306,3.91531,-10477.9
0.465306,3.97633,-12090.9
0.465306,4.03735,-9457.96
0.465306,4.09837,-11067
0.465306,4.15939,-nan
0.465306,4.22041,-9070.63
0.465306,4.28143,-12840.7
0.465306,4.34245,-8737.21
0.465306,4.40347,-12776.3
0.465306,4.46449,-8872.86
0.465306,4.52551,-nan
0.465306,4.58653,-10442.7
0.465306,4.64755,-8828.55
0.465306,4.70857,-nan
0.465306,4.76959,-nan
0.465306,4.83061,-17870.2
0.465306,4.89163,-12194.9
0.465306,4.95265,-11091.4
0.465306,5.01367,-11056.5
0.465306,5.07469,-12050.4
0.465306,5.13571,-17398.9
0.465306,5.19673,-nan
0.465306,5.25776,-nan
0.465306,5.31878,-8292.2
0.465306,5.3798,-9255.72
0.465306,5.44082,-21774.2
0.465306,5.50184,-nan
0.465306,5.56286,-8896.13
0.465306,5.62388,-nan
0.465306,5.6849,-8165.41
0.465306,5.74592,-15548.8
0.465306,5.80694,-8018.58
0.465306,5.86796,-20599.3
0.465306,5.92898,-8228.57
0.465306,5.99,-nan
0.465306,6.05102,-9575.64
0.520408,0.01,-1.07757e+06
0.520408,0.0710204,-186116
0.520408,0.132041,-104594
0.520408,0.193061,-74018.8
0.520408,0.254082,-57921.6
0.520408,0.315102,-47979
0.520408,0.376122,-41311.1
0.520408,0.437143,-37008.2
0.520408,0.498163,-33669.3
0.520408,0.559184,-30434.5
0.520408,0.620204,-28688.8
0.520408,0.681224,-25816.4
0.520408,0.742245,-25314
0.520408,0.803265,-23501.8
0.520408,0.864286,-23184.8
0.520408,0.925306,-21752.6
0.520408,0.986327,-20795.8
0.520408,1.04735,-19858.6
0.520408,1.10837,-18674.8
0.520408,1.16939,-17307.6
0.520408,1.23041,-17850.3
0.520408,1.29143,-17954
0.520408,1.35245,-16618.6
0.520408,1.41347,-18396.5
0.520408,1.47449,-17746.6
0.520408,1.53551,-15054.4
0.520408,1.59653,-14729.9
0.520408,1.65755,-16701
0.520408,1.71857,-15864
0.520408,1.77959,-13344.6
0.520408,1.84061,-16309
0.520408,1.90163,-18156.1
0.520408,1.96265,-13626
0.520408,2.02367,-12950.3
0.520408,2.08469,-13350.8
0.520408,2.14571,-18598
0.520408,2.20673,-15000.6
0.520408,2.26776,-16160.6
0.520408,2.32878,-11956.1
0.520408,2.3898,-16317.8
0.520408,2.45082,-14680.9
0.520408,2.51184,-17532.8
0.520408,2.57286,-11646
0.520408,2.63388,-17988.3
0.520408,2.6949,-14463.7
0.520408,2.75592,-15458.3
0.520408,2.81694,-10707.5
0.520408,2.87796,-12319.7
0.520408,2.93898,-10833.2
0.520408,3,-10409.7
0.520408,3.06102,-10406.7
0.520408,3.12204,-10935
0.520408,3.18306,-13778.3
0.520408,3.24408,-10613.7
0.520408,3.3051,-36258.7
0.520408,3.36612,-18949.1
0.520408,3.42714,-22026.2
0.520408,3.48816,-9885.42
0.520408,3.54918,-10968.1
0.520408,3.6102,-23196.3
0.520408,3.67122,-11459.8
0.520408,3.73224,-10137
0.520408,3.79327,-9735
0.520408,3.85429,-9718.8
0.520408,3.91531,-10121.8
0.520408,3.97633,-11742.4
0.520408,4.03735,-9104.02
0.520408,4.09837,-10729.1
0.520408,4.15939,-nan
0.520408,4.22041,-8732.58
0.520408,4.28143,-12516.9
0.520408,4.34245,-8406.15
0.520408,4.40347,-12487.7
0.520408,4.46449,-8551.3
0.520408,4.52551,-nan
0.520408,4.58653,-10134.1
0.520408,4.64755,-8521.87
0.520408,4.70857,-nan
0.520408,4.76959,-nan
0.520408,4.83061,-17606.1
0.520408,4.89163,-11900.2
0.520408,4.95265,-10814.4
0.520408,5.01367,-10773.6
0.520408,5.07469,-11771.3
0.520408,5.13571,-17131.8
0.520408,5.19673,-nan
0.520408,5.25776,-nan
0.520408,5.31878,-8018.35
0.520408,5.3798,-8994.98
0.520408,5.44082,-21558.3
0.520408,5.50184,-nan
0.520408,5.56286,-8638.59
0.520408,5.62388,-nan
0.520408,5.6849,-7907.87
0.520408,5.74592,-15359.9
0.520408,5.80694,-7758.64
0.520408,5.86796,-20460.2
0.520408,5.92898,-7981.01
0.520408,5.99,-nan
0.520408,6.05102,-9330.88
0.57551,0.01,-985746
0.57551,0.0710204,-169338
0.57551,0.132041,-95382.3
0.57551,0.193061,-67656.8
0.57551,0.254082,-53063.9
0.57551,0.315102,-44049.7
0.57551,0.376122,-38003.3
0.57551,0.437143,-34165.2
0.57551,0.498163,-31174.4
0.57551,0.559184,-28200.6
0.57551,0.620204,-26682.2
0.57551,0.681224,-23970.1
0.57551,0.742245,-23624.7
0.57551,0.803265,-21939.4
0.57551,0.864286,-21730.5
0.57551,0.925306,-20394.6
0.57551,0.986327,-19514.9
0.57551,1.04735,-18649.7
0.57551,1.10837,-17528
0.57551,1.16939,-16213
0.57551,1.23041,-16823.4
0.57551,1.29143,-16969.5
0.57551,1.35245,-15669.8
0.57551,1.41347,-17503.7
0.57551,1.47449,-16883.5
0.57551,1.53551,-14213.6
0.57551,1.59653,-13919.5
0.57551,1.65755,-15930
0.57551,1.71857,-15124.7
0.57551,1.77959,-12616.4
0.57551,1.84061,-15611.4
0.57551,1.90163,-17491.7
0.57551,1.96265,-12965.3
0.57551,2.02367,-12305.4
0.57551,2.08469,-12723.2
0.57551,2.14571,-18007.2
0.57551,2.20673,-14413
0.57551,2.26776,-15620.1
0.57551,2.32878,-11390.2
0.57551,2.3898,-15777.3
0.57551,2.45082,-14169.8
0.57551,2.51184,-17016.1
0.57551,2.57286,-11127
0.57551,2.63388,-17494
0.57551,2.6949,-13979.3
0.57551,2.75592,-14977.2
0.57551,2.81694,-10232
0.57551,2.87796,-11855.6
0.57551,2.93898,-10375.4
