length_scale,process_noise,lml
0.05,0.01,-3.10751e+06
0.05,0.025102,-1.48546e+06
0.05,0.0402041,-977334
0.05,0.0553061,-728919
0.05,0.0704082,-581619
0.05,0.0855102,-484156
0.05,0.100612,-414888
0.05,0.115714,-363129
0.05,0.130816,-322994
0.05,0.145918,-290964
0.05,0.16102,-264801
0.05,0.176122,-243035
0.05,0.191224,-224641
0.05,0.206327,-208890
0.05,0.221429,-195253
0.05,0.236531,-183337
0.05,0.251633,-172823
0.05,0.266735,-163488
0.05,0.281837,-155138
0.05,0.296939,-147633
0.05,0.312041,-140836
0.05,0.327143,-134668
0.05,0.342245,-129043
0.05,0.357347,-123879
0.05,0.372449,-119128
0.05,0.387551,-114745
0.05,0.402653,-110697
0.05,0.417755,-106928
0.05,0.432857,-103427
0.05,0.447959,-100143
0.05,0.463061,-97080.1
0.05,0.478163,-94232.6
0.05,0.493265,-91521.8
0.05,0.508367,-88990.4
0.05,0.523469,-86601
0.05,0.538571,-84356.5
0.05,0.553673,-82224.6
0.05,0.568776,-80183.6
0.05,0.583878,-78267.9
0.05,0.59898,-76443.9
0.05,0.614082,-74709.9
0.05,0.629184,-73080.7
0.05,0.644286,-71481.1
0.05,0.659388,-69980.6
0.05,0.67449,-68542.5
0.05,0.689592,-67167.5
0.05,0.704694,-65883.8
0.05,0.719796,-64590.2
0.05,0.734898,-63379.6
0.05,0.75,-62216.2
0.253061,0.01,-2.84968e+06
0.253061,0.025102,-1.34294e+06
0.253061,0.0402041,-879866
0.253061,0.0553061,-654974
0.253061,0.0704082,-522095
0.253061,0.0855102,-434362
0.253061,0.100612,-372119
0.253061,0.115714,-325654
0.253061,0.130816,-289659
0.253061,0.145918,-260950
0.253061,0.16102,-237517
0.253061,0.176122,-218042
0.253061,0.191224,-201581
0.253061,0.206327,-187500
0.253061,0.221429,-175317
0.253061,0.236531,-164661
0.253061,0.251633,-155284
0.253061,0.266735,-146946
0.253061,0.281837,-139492
0.253061,0.296939,-132797
0.253061,0.312041,-126734
0.253061,0.327143,-121240
0.253061,0.342245,-116223
0.253061,0.357347,-111628
0.253061,0.372449,-107401
0.253061,0.387551,-103499
0.253061,0.402653,-99893.4
0.253061,0.417755,-96542.6
0.253061,0.432857,-93428.3
0.253061,0.447959,-90523
0.253061,0.463061,-87806.6
0.253061,0.478163,-85268.1
0.253061,0.493265,-82872
0.253061,0.508367,-80668.2
0.253061,0.523469,-78505.4
0.253061,0.538571,-76506.2
0.253061,0.553673,-74608.8
0.253061,0.568776,-72818.2
0.253061,0.583878,-71123.5
0.253061,0.59898,-69508.6
0.253061,0.614082,-67978.8
0.253061,0.629184,-66517
0.253061,0.644286,-65122.5
0.253061,0.659388,-63792.7
0.253061,0.67449,-62528.3
0.253061,0.689592,-61313.7
0.253061,0.704694,-60154.2
0.253061,0.719796,-59042.8
0.253061,0.734898,-57974.7
0.253061,0.75,-56953
0.456122,0.01,-1.85236e+06
0.456122,0.025102,-831141
0.456122,0.0402041,-537409
0.456122,0.0553061,-397818
0.456122,0.0704082,-316264
0.456122,0.0855102,-262768
0.456122,0.100612,-224997
0.456122,0.115714,-196901
0.456122,0.130816,-175185
0.456122,0.145918,-157901
0.456122,0.16102,-143825
0.456122,0.176122,-132136
0.456122,0.191224,-122269
0.456122,0.206327,-113842
0.456122,0.221429,-106554
0.456122,0.236531,-100190
0.456122,0.251633,-94581.6
0.456122,0.266735,-89612
0.456122,0.281837,-85170.1
0.456122,0.296939,-81178.8
0.456122,0.312041,-77569
0.456122,0.327143,-74295.5
0.456122,0.342245,-71306.7
0.456122,0.357347,-68575.7
0.456122,0.372449,-66060.5
0.456122,0.387551,-63748.2
0.456122,0.402653,-61602.2
0.456122,0.417755,-59614.6
0.456122,0.432857,-57763.2
0.456122,0.447959,-56042.2
0.456122,0.463061,-54429.2
0.456122,0.478163,-52924
0.456122,0.493265,-51507.5
0.456122,0.508367,-50176.1
0.456122,0.523469,-48918.9
0.456122,0.538571,-47741.9
0.456122,0.553673,-46622.8
0.456122,0.568776,-45560.3
0.456122,0.583878,-44559.1
0.456122,0.59898,-43602.9
0.456122,0.614082,-42697.2
0.456122,0.629184,-41838.5
0.456122,0.644286,-41010.2
0.456122,0.659388,-40226.8
0.456122,0.67449,-39482
0.456122,0.689592,-38763.2
0.456122,0.704694,-38082.6
0.456122,0.719796,-37423.9
0.456122,0.734898,-36795.8
0.456122,0.75,-36196.9
0.659184,0.01,-1.14983e+06
0.659184,0.025102,-499798
0.659184,0.0402041,-321015
0.659184,0.0553061,-237216
0.659184,0.0704082,-188577
0.659184,0.0855102,-156799
0.659184,0.100612,-134412
0.659184,0.115714,-117798
0.659184,0.130816,-104974
0.659184,0.145918,-94779.4
0.659184,0.16102,-86479.9
0.659184,0.176122,-79595.3
0.659184,0.191224,-73791.6
0.659184,0.206327,-68830.4
0.659184,0.221429,-64536.9
0.659184,0.236531,-60794.7
0.659184,0.251633,-57504.4
0.659184,0.266735,-54583.4
0.659184,0.281837,-51979.5
0.659184,0.296939,-49632.4
0.659184,0.312041,-47513.1
0.659184,0.327143,-45592
0.659184,0.342245,-43847.9
0.659184,0.357347,-42237.9
0.659184,0.372449,-40765.9
0.659184,0.387551,-39409.8
0.659184,0.402653,-38157.4
0.659184,0.417755,-36994.4
0.659184,0.432857,-35911.9
0.659184,0.447959,-34903
0.659184,0.463061,-33960.5
0.659184,0.478163,-33077.7
0.659184,0.493265,-32253
0.659184,0.508367,-31474.6
0.659184,0.523469,-30737.9
0.659184,0.538571,-30042.8
0.659184,0.553673,-29389.4
0.659184,0.568776,-28770.8
0.659184,0.583878,-28188
0.659184,0.59898,-27634.7
0.659184,0.614082,-27106.1
0.659184,0.629184,-26600.2
0.659184,0.644286,-26117.4
0.659184,0.659388,-25660.9
0.659184,0.67449,-25227.9
0.659184,0.689592,-24807.4
0.659184,0.704694,-24415.8
0.659184,0.719796,-24030.8
0.659184,0.734898,-23661.8
0.659184,0.75,-23318
0.862245,0.01,-767389
0.862245,0.025102,-328999
0.862245,0.0402041,-211409
0.862245,0.0553061,-156681
0.862245,0.0704082,-125001
0.862245,0.0855102,-104348
0.862245,0.100612,-89800.2
0.862245,0.115714,-79007.3
0.862245,0.130816,-70682.9
0.862245,0.145918,-64054.5
0.862245,0.16102,-58661.8
0.862245,0.176122,-54190.2
0.862245,0.191224,-50408.6
0.862245,0.206327,-47191
0.862245,0.221429,-44398.8
0.862245,0.236531,-41961.7
0.862245,0.251633,-39818.7
0.862245,0.266735,-37917
0.862245,0.281837,-36222.1
0.862245,0.296939,-34699.7
0.862245,0.312041,-33316.1
0.862245,0.327143,-32066.4
0.862245,0.342245,-30926.3
0.862245,0.357347,-29877.4
0.862245,0.372449,-28920.2
0.862245,0.387551,-28034.5
0.862245,0.402653,-27208.2
0.862245,0.417755,-26447.9
0.862245,0.432857,-25740.9
0.862245,0.447959,-25084.9
0.862245,0.463061,-24473.4
0.862245,0.478163,-23896.9
0.862245,0.493265,-23347.1
0.862245,0.508367,-22840.9
0.862245,0.523469,-22362.3
0.862245,0.538571,-21916.7
0.862245,0.553673,-21479.2
0.862245,0.568776,-21085
0.862245,0.583878,-20697.2
0.862245,0.59898,-20326.1
0.862245,0.614082,-19988.2
0.862245,0.629184,-19663.7
0.862245,0.644286,-19347.9
0.862245,0.659388,-19044.4
0.862245,0.67449,-18755.7
0.862245,0.689592,-18478.7
0.862245,0.704694,-18226.3
0.862245,0.719796,-17972.2
0.862245,0.734898,-17737.1
0.862245,0.75,-17503.2
1.06531,0.01,-550081
1.06531,0.025102,-235748
1.06531,0.0402041,-152614
1.06531,0.0553061,-114038
1.06531,0.0704082,-91747.5
1.06531,0.0855102,-77208.6
1.06531,0.100612,-66967.8
1.06531,0.115714,-59350.5
1.06531,0.130816,-53471.8
1.06531,0.145918,-48807.4
1.06531,0.16102,-44994.2
1.06531,0.176122,-41829.3
1.06531,0.191224,-39168
1.06531,0.206327,-36877.2
1.06531,0.221429,-34915
1.06531,0.236531,-33193.6
1.06531,0.251633,-31672.1
1.06531,0.266735,-30325.2
1.06531,0.281837,-29122.9
1.06531,0.296939,-28040.4
1.06531,0.312041,-27060.7
1.06531,0.327143,-26179.5
1.06531,0.342245,-25378
1.06531,0.357347,-24633.3
1.06531,0.372449,-23955
1.06531,0.387551,-23331.9
1.06531,0.402653,-22751.4
1.06531,0.417755,-22230
1.06531,0.432857,-21722.4
1.06531,0.447959,-21262
1.06531,0.463061,-20837.7
1.06531,0.478163,-20434.3
1.06531,0.493265,-20056.6
1.06531,0.508367,-19712.2
1.06531,0.523469,-19385.5
1.06531,0.538571,-19084.6
1.06531,0.553673,-18788.5
1.06531,0.568776,-18507
1.06531,0.583878,-18259.6
1.06531,0.59898,-18008.8
1.06531,0.614082,-17785.5
1.06531,0.629184,-17579.1
1.06531,0.644286,-17370.6
1.06531,0.659388,-17191.3
1.06531,0.67449,-17026.2
1.06531,0.689592,-16870.2
1.06531,0.704694,-16710.9
1.06531,0.719796,-16567.3
1.06531,0.734898,-16435.6
1.06531,0.75,-16325.4
1.26837,0.01,-418899
1.26837,0.025102,-181899
1.26837,0.0402041,-119598
1.26837,0.0553061,-90691.6
1.26837,0.0704082,-73954.6
1.26837,0.0855102,-63010.6
1.26837,0.100612,-55298.3
1.26837,0.115714,-49567.1
1.26837,0.130816,-45123
1.26837,0.145918,-41581.3
1.26837,0.16102,-38708.5
1.26837,0.176122,-36299
1.26837,0.191224,-34287.8
1.26837,0.206327,-32551.3
1.26837,0.221429,-31054.9
1.26837,0.236531,-29766.4
1.26837,0.251633,-28613.6
1.26837,0.266735,-27603.7
1.26837,0.281837,-26687.7
1.26837,0.296939,-25900.1
1.26837,0.312041,-25170.2
1.26837,0.327143,-24520.2
1.26837,0.342245,-23929.6
1.26837,0.357347,-23395.8
1.26837,0.372449,-22924.7
1.26837,0.387551,-22472
1.26837,0.402653,-22066.5
1.26837,0.417755,-21727.2
1.26837,0.432857,-21386.4
1.26837,0.447959,-21089.6
1.26837,0.463061,-20845.1
1.26837,0.478163,-20625
1.26837,0.493265,-20413.9
1.26837,0.508367,-20247.4
1.26837,0.523469,-20106.9
1.26837,0.538571,-19994.6
1.26837,0.553673,-19929.5
1.26837,0.568776,-19895.9
1.26837,0.583878,-19923.1
1.26837,0.59898,-19997.1
1.26837,0.614082,-nan
1.26837,0.629184,-nan
1.26837,0.644286,-nan
1.26837,0.659388,-nan
1.26837,0.67449,-nan
1.26837,0.689592,-nan
1.26837,0.704694,-nan
1.26837,0.719796,-nan
1.26837,0.734898,-nan
1.26837,0.75,-nan
1.47143,0.01,-335462
1.47143,0.025102,-149540
1.47143,0.0402041,-100771
1.47143,0.0553061,-78094.5
1.47143,0.0704082,-64927.3
1.47143,0.0855102,-56301.6
1.47143,0.100612,-50216.9
1.47143,0.115714,-45673.6
1.47143,0.130816,-42159.8
1.47143,0.145918,-39350
1.47143,0.16102,-37091.8
1.47143,0.176122,-35213.7
1.47143,0.191224,-33615
1.47143,0.206327,-32276.9
1.47143,0.221429,-31113.3
1.47143,0.236531,-30119.3
1.47143,0.251633,-29274.6
1.47143,0.266735,-28500.6
1.47143,0.281837,-27903.4
1.47143,0.296939,-27343.9
1.47143,0.312041,-26839.5
1.47143,0.327143,-26446.5
1.47143,0.342245,-26081.7
1.47143,0.357347,-25841.2
1.47143,0.372449,-25611
1.47143,0.387551,-25518.2
1.47143,0.402653,-25436
1.47143,0.417755,-25449.8
1.47143,0.432857,-25542.8
1.47143,0.447959,-25744.9
1.47143,0.463061,-26079.3
1.47143,0.478163,-26632.6
1.47143,0.493265,-27368.2
1.47143,0.508367,-29066.5
1.47143,0.523469,-nan
1.47143,0.538571,-nan
1.47143,0.553673,-nan
1.47143,0.568776,-nan
1.47143,0.583878,-nan
1.47143,0.59898,-nan
1.47143,0.614082,-nan
1.47143,0.629184,-nan
1.47143,0.644286,-nan
1.47143,0.659388,-nan
1.47143,0.67449,-nan
1.47143,0.689592,-nan
1.47143,0.704694,-nan
1.47143,0.719796,-nan
1.47143,0.734898,-nan
1.47143,0.75,-nan
1.67449,0.01,-280612
1.67449,0.025102,-129807
1.67449,0.0402041,-90134.9
1.67449,0.0553061,-71581.4
1.67449,0.0704082,-60793.4
1.67449,0.0855102,-53686.4
1.67449,0.100612,-48680.8
1.67449,0.115714,-44927.3
1.67449,0.130816,-42039.7
1.67449,0.145918,-39734.6
1.67449,0.16102,-37886.4
1.67449,0.176122,-36361.8
1.67449,0.191224,-35106.1
1.67449,0.206327,-34056
1.67449,0.221429,-33193.8
1.67449,0.236531,-32503.6
1.67449,0.251633,-31893.1
1.67449,0.266735,-31419.8
1.67449,0.281837,-31126.4
1.67449,0.296939,-30884.9
1.67449,0.312041,-30707.9
1.67449,0.327143,-30704.5
1.67449,0.342245,-30861.5
1.67449,0.357347,-31252.4
1.67449,0.372449,-31652.6
1.67449,0.387551,-32606.9
1.67449,0.402653,-34008.1
1.67449,0.417755,-nan
1.67449,0.432857,-nan
1.67449,0.447959,-nan
1.67449,0.463061,-nan
1.67449,0.478163,-nan
1.67449,0.493265,-nan
1.67449,0.508367,-nan
1.67449,0.523469,-nan
1.67449,0.538571,-nan
1.67449,0.553673,-nan
1.67449,0.568776,-nan
1.67449,0.583878,-nan
1.67449,0.59898,-nan
1.67449,0.614082,-nan
1.67449,0.629184,-nan
1.67449,0.644286,-nan
1.67449,0.659388,-nan
1.67449,0.67449,-nan
1.67449,0.689592,-nan
1.67449,0.704694,-nan
1.67449,0.719796,-nan
1.67449,0.734898,-nan
1.67449,0.75,-nan
1.87755,0.01,-244094
1.87755,0.025102,-118253
1.87755,0.0402041,-84854.7
1.87755,0.0553061,-69148.1
1.87755,0.0704082,-59916.5
1.87755,0.0855102,-53787.1
1.87755,0.100612,-49489
1.87755,0.115714,-46275.2
1.87755,0.130816,-43824.2
1.87755,0.145918,-41856.3
1.87755,0.16102,-40329.6
1.87755,0.176122,-39119.3
1.87755,0.191224,-38154.7
1.87755,0.206327,-37418.3
1.87755,0.221429,-36844.8
1.87755,0.236531,-36441.6
1.87755,0.251633,-36227.7
1.87755,0.266735,-36164.9
1.87755,0.281837,-36284.9
1.87755,0.296939,-36680
1.87755,0.312041,-37229.2
1.87755,0.327143,-38149.1
1.87755,0.342245,-39487.5
1.87755,0.357347,-41971.4
1.87755,0.372449,-46289
1.87755,0.387551,-nan
1.87755,0.402653,-nan
1.87755,0.417755,-nan
1.87755,0.432857,-nan
1.87755,0.447959,-nan
1.87755,0.463061,-nan
1.87755,0.478163,-nan
1.87755,0.493265,-nan
1.87755,0.508367,-nan
1.87755,0.523469,-nan
1.87755,0.538571,-nan
1.87755,0.553673,-nan
1.87755,0.568776,-nan
1.87755,0.583878,-nan
1.87755,0.59898,-nan
1.87755,0.614082,-nan
1.87755,0.629184,-nan
1.87755,0.644286,-nan
1.87755,0.659388,-nan
1.87755,0.67449,-nan
1.87755,0.689592,-nan
1.87755,0.704694,-nan
1.87755,0.719796,-nan
1.87755,0.734898,-nan
1.87755,0.75,-nan
2.08061,0.01,-219615
2.08061,0.025102,-112389
2.08061,0.0402041,-83762.5
2.08061,0.0553061,-70162.2
2.08061,0.0704082,-62074
2.08061,0.0855102,-56729.6
2.08061,0.100612,-52996.7
2.08061,0.115714,-50119.8
2.08061,0.130816,-47987.8
2.08061,0.145918,-46310.7
2.08061,0.16102,-45021.6
2.08061,0.176122,-44055.1
2.08061,0.191224,-43300.8
2.08061,0.206327,-42773
2.08061,0.221429,-42517.2
2.08061,0.236531,-42473.8
2.08061,0.251633,-42558.8
2.08061,0.266735,-42927.2
2.08061,0.281837,-43744.6
2.08061,0.296939,-44852.5
2.08061,0.312041,-46299.7
2.08061,0.327143,-48744.6
2.08061,0.342245,-52301.1
2.08061,0.357347,-59654.7
2.08061,0.372449,-nan
2.08061,0.387551,-nan
2.08061,0.402653,-nan
2.08061,0.417755,-nan
2.08061,0.432857,-nan
2.08061,0.447959,-nan
2.08061,0.463061,-nan
2.08061,0.478163,-nan
2.08061,0.493265,-nan
2.08061,0.508367,-nan
2.08061,0.523469,-nan
2.08061,0.538571,-nan
2.08061,0.553673,-nan
2.08061,0.568776,-nan
2.08061,0.583878,-nan
2.08061,0.59898,-nan
2.08061,0.614082,-nan
2.08061,0.629184,-nan
2.08061,0.644286,-nan
2.08061,0.659388,-nan
2.08061,0.67449,-nan
2.08061,0.689592,-nan
2.08061,0.704694,-nan
2.08061,0.719796,-nan
2.08061,0.734898,-nan
2.08061,0.75,-nan
2.28367,0.01,-203583
2.28367,0.025102,-109839
2.28367,0.0402041,-84579.4
2.28367,0.0553061,-72474.4
2.28367,0.0704082,-65252.9
2.28367,0.0855102,-60540.7
2.28367,0.100612,-57138.9
2.28367,0.115714,-54617.8
2.28367,0.130816,-52853.9
2.28367,0.145918,-51386
2.28367,0.16102,-50424.8
2.28367,0.176122,-49744.9
2.28367,0.191224,-49265
2.28367,0.206327,-49068.1
2.28367,0.221429,-49111.3
2.28367,0.236531,-49454.8
2.28367,0.251633,-49978.3
2.28367,0.266735,-51057.7
2.28367,0.281837,-52642.4
2.28367,0.296939,-54683.8
2.28367,0.312041,-57423.3
2.28367,0.327143,-62660.8
2.28367,0.342245,-74739.4
2.28367,0.357347,-nan
2.28367,0.372449,-nan
2.28367,0.387551,-nan
2.28367,0.402653,-nan
2.28367,0.417755,-nan
2.28367,0.432857,-nan
2.28367,0.447959,-nan
2.28367,0.463061,-nan
2.28367,0.478163,-nan
2.28367,0.493265,-nan
2.28367,0.508367,-nan
2.28367,0.523469,-nan
2.28367,0.538571,-nan
2.28367,0.553673,-nan
2.28367,0.568776,-nan
2.28367,0.583878,-nan
2.28367,0.59898,-nan
2.28367,0.614082,-nan
2.28367,0.629184,-nan
2.28367,0.644286,-nan
2.28367,0.659388,-nan
2.28367,0.67449,-nan
2.28367,0.689592,-nan
2.28367,0.704694,-nan
2.28367,0.719796,-nan
2.28367,0.734898,-nan
2.28367,0.75,-nan
